tag_name,published_at,prerelease,author_login
v0.4.24,2020-12-03T16:57:24Z,False,pirate
v0.4.21,2020-08-18T23:44:44Z,False,pirate
v0.4.17,2020-08-18T13:50:43Z,False,pirate
v0.4.16,2020-08-18T06:15:13Z,False,pirate
v0.4.15,2020-08-18T06:03:16Z,False,pirate
v0.4.14,2020-08-14T17:17:52Z,False,pirate
v0.4.13,2020-08-10T18:43:29Z,False,pirate
v0.4.12,2020-08-10T18:30:57Z,False,pirate
v0.4.11,2020-08-07T03:20:19Z,False,pirate
v0.4.9,2020-07-28T12:36:08Z,False,pirate
v0.2.4,2019-02-27T20:29:13Z,False,pirate
v0.2.3,2019-02-19T19:15:12Z,False,pirate
v0.2.2,2019-02-07T00:38:05Z,False,pirate
v0.2.1,2019-01-11T12:17:26Z,False,pirate
v0.2.0,2018-12-21T22:49:30Z,False,pirate
v0.1.0,2018-06-11T03:02:52Z,False,pirate
v0.0.3,2017-10-30T09:17:11Z,False,pirate
v0.0.2,2017-07-04T11:36:12Z,False,pirate
v0.0.1,2017-07-04T09:17:41Z,False,pirate
