tag_name,published_at,prerelease,author_login
1.0beta18,2020-12-04T21:40:30Z,False,wjblanke
1.0beta17,2020-10-23T06:49:05Z,False,wjblanke
1.0beta16,2020-10-21T00:46:58Z,False,hoffmang9
1.0beta15,2020-10-08T03:56:25Z,False,hoffmang9
1.0beta14,2020-10-01T18:10:53Z,False,wjblanke
1.0beta13,2020-09-15T21:55:27Z,False,wjblanke
1.0beta12,2020-09-14T23:23:12Z,False,wjblanke
1.0beta11,2020-08-25T00:25:13Z,False,wjblanke
1.0beta10,2020-08-19T02:12:59Z,False,wjblanke
1.0beta9,2020-07-27T23:56:51Z,False,wjblanke
1.0beta8,2020-07-16T20:07:52Z,False,wjblanke
1.0beta7,2020-06-09T00:34:17Z,False,wjblanke
1.0beta6,2020-06-01T16:03:31Z,False,wjblanke
1.0beta5,2020-05-06T04:12:32Z,False,wjblanke
1.0beta4,2020-04-30T00:27:39Z,False,wjblanke
1.0beta3,2020-04-09T04:34:05Z,False,wjblanke
1.0beta1,2020-04-02T21:31:52Z,False,wjblanke
alpha-1.5.1,2020-03-24T17:50:08Z,False,wjblanke
alpha-1.5,2020-03-19T00:37:37Z,False,wjblanke
alpha-1.4.1,2020-03-07T04:07:27Z,False,wjblanke
alpha-1.4,2020-02-20T04:39:52Z,False,wjblanke
alpha-1.3,2020-01-22T01:56:47Z,False,wjblanke
alpha-1.2,2020-01-09T00:19:03Z,False,wjblanke
alpha-1.1.1,2019-12-25T19:40:17Z,False,wjblanke
alpha-1.1,2019-12-12T21:52:37Z,False,wjblanke
