tag_name,published_at,prerelease,author_login
v2.9.0,2020-09-03T10:09:06Z,False,sbrugman
v2.9.0rc1,2020-07-12T22:44:32Z,True,sbrugman
v2.8.0,2020-05-12T03:36:12Z,False,sbrugman
v2.7.1,2020-05-11T17:47:46Z,False,sbrugman
v2.7.0,2020-05-07T20:04:56Z,False,sbrugman
v2.6.0,2020-04-13T22:49:13Z,False,sbrugman
v2.5.0,2020-02-14T10:03:10Z,False,sbrugman
v2.4.0,2020-01-08T03:13:44Z,False,sbrugman
v2.3.0,2019-07-27T12:18:44Z,False,sbrugman
v2.2.0,2019-07-22T09:26:09Z,False,sbrugman
v2.1.2,2019-07-11T23:40:47Z,False,sbrugman
v2.1.1,2019-07-11T07:30:27Z,False,sbrugman
v2.1.0,2019-07-06T14:45:08Z,False,sbrugman
v2.0.3,2019-06-23T10:08:56Z,False,sbrugman
v2.0.2,2019-06-22T21:07:20Z,False,sbrugman
v2.0.1,2019-06-21T14:32:52Z,False,sbrugman
v2.0.0,2019-06-19T22:36:21Z,False,sbrugman
v1.4.3,2019-06-19T07:41:51Z,False,sbrugman
v1.4.2,2019-04-27T09:04:21Z,False,JosPolfliet
v1.4.1,2018-01-10T15:09:19Z,False,romainx
v1.4.0,2017-02-05T17:20:53Z,False,JosPolfliet
v.1.3.0,2016-09-04T15:15:47Z,False,JosPolfliet
v1.2.0,2016-08-03T00:37:27Z,False,JosPolfliet
1.0.0a1,2016-01-26T16:17:33Z,False,JosPolfliet
