tag_name,published_at,prerelease,author_login
v0.16.1,2018-01-19T19:51:28Z,True,Lonami
v0.16,2017-12-28T11:58:13Z,True,Lonami
v0.15.5,2017-11-16T18:24:19Z,True,Lonami
v0.15.4,2017-11-04T12:41:51Z,True,Lonami
v0.15.3,2017-10-20T21:40:33Z,True,Lonami
v0.15.2,2017-10-14T10:14:36Z,True,Lonami
v0.15.1,2017-10-05T12:05:37Z,True,Lonami
v0.15,2017-10-01T15:41:59Z,True,Lonami
v0.14.2,2017-09-29T11:18:21Z,True,Lonami
v0.14.1,2017-09-28T10:06:58Z,True,Lonami
v0.14,2017-09-27T11:57:06Z,True,Lonami
v0.13.6,2017-09-23T09:51:06Z,True,Lonami
v0.13.5,2017-09-23T09:48:15Z,True,Lonami
v0.13.4,2017-09-18T11:42:12Z,True,Lonami
v0.13.3,2017-09-14T09:53:10Z,True,Lonami
v0.13.2,2017-09-08T16:46:37Z,True,Lonami
v0.13.1,2017-09-04T18:38:02Z,True,Lonami
v0.13,2017-09-04T10:33:25Z,True,Lonami
v0.12.2,2017-08-28T15:33:05Z,True,Lonami
v0.12.1,2017-08-24T17:26:05Z,True,Lonami
v0.12,2017-08-22T23:59:49Z,True,Lonami
v0.11.5,2017-07-11T09:39:41Z,True,Lonami
v0.11.4,2017-07-10T14:19:42Z,True,Lonami
v0.11.3,2017-07-05T08:24:13Z,True,Lonami
v0.11.2,2017-07-04T09:09:22Z,True,Lonami
v0.11.1,2017-06-24T16:25:41Z,True,Lonami
v0.11,2017-06-16T08:34:22Z,True,Lonami
v0.10.1,2017-06-07T18:23:52Z,True,Lonami
v0.10,2017-06-03T13:50:19Z,True,Lonami
v0.9.1,2017-05-23T08:39:29Z,True,Lonami
v0.9,2017-05-19T11:02:33Z,True,Lonami
v0.8,2017-04-14T13:51:06Z,True,Lonami
v0.7.1,2017-02-19T14:51:01Z,True,Lonami
v0.7,2017-01-31T16:32:29Z,True,Lonami
v0.6,2016-11-13T14:52:15Z,True,Lonami
v0.5,2016-09-18T10:17:49Z,True,Lonami
v0.4,2016-09-12T17:43:44Z,True,Lonami
v0.3,2016-09-11T14:30:03Z,True,Lonami
v0.2,2016-09-10T09:16:25Z,True,Lonami
v0.1,2016-09-06T17:02:57Z,True,Lonami
