tag_name,published_at,prerelease,author_login
2.2.5,2020-11-11T10:43:10Z,False,savingoyal
2.2.4,2020-10-28T23:30:48Z,False,savingoyal
2.2.3,2020-09-08T18:22:27Z,False,jasonge27
2.2.2,2020-08-20T08:00:15Z,False,romain-intel
2.2.1,2020-08-18T05:38:31Z,False,romain-intel
2.2.0,2020-08-05T05:13:54Z,False,savingoyal
2.1.1,2020-07-30T23:58:57Z,False,savingoyal
2.1.0,2020-07-29T20:09:53Z,False,savingoyal
2.0.5,2020-05-01T01:22:16Z,False,savingoyal
2.0.4,2020-04-28T23:46:13Z,False,savingoyal
2.0.3,2020-03-06T22:12:57Z,False,romain-intel
2.0.2,2020-02-11T18:34:04Z,False,romain-intel
2.0.1,2019-12-16T23:13:38Z,False,savingoyal
2.0.0,2019-12-03T17:56:49Z,False,savingoyal
