tag_name,published_at,prerelease,author_login
1.1.3-excel,2019-08-11T19:43:33Z,False,commjoen
1.1.3,2019-08-04T06:37:18Z,False,OMTGreleaser
1.1.2-excel,2019-08-02T10:09:14Z,False,commjoen
1.1.2,2019-05-21T21:45:18Z,False,OMTGreleaser
1.1.1,2019-05-07T07:02:01Z,False,commjoen
1.1-excel,2019-01-15T20:24:16Z,False,commjoen
1.1.0,2018-11-30T12:49:50Z,False,commjoen
1.0.2,2018-10-13T18:58:31Z,False,commjoen
1.0.1,2018-09-17T07:43:14Z,False,commjoen
untagged-88c4b20a47226cc9b0bb,2018-09-14T19:31:59Z,False,commjoen
