tag_name,published_at,prerelease,author_login
2.2.2,2020-12-21T18:34:10Z,False,github-actions[bot]
1.10.20,2020-12-18T10:26:47Z,False,github-actions[bot]
2.2.1,2020-12-17T19:50:01Z,False,github-actions[bot]
2.2.0,2020-12-17T10:24:22Z,False,github-actions[bot]
1.10.19,2020-12-17T16:20:11Z,False,github-actions[bot]
2.2.0a1,2020-12-11T08:29:03Z,False,github-actions[bot]
2.1.3,2020-12-04T14:18:05Z,False,github-actions[bot]
2.1.2,2020-12-01T10:38:36Z,False,github-actions[bot]
2.0.8,2020-11-26T16:29:57Z,False,github-actions[bot]
1.10.18,2020-11-26T16:04:52Z,False,github-actions[bot]
2.0.7,2020-11-25T11:28:55Z,False,github-actions[bot]
2.1.1,2020-11-24T11:10:18Z,False,github-actions[bot]
2.1.0,2020-11-17T15:38:04Z,False,github-actions[bot]
1.10.17,2020-11-12T16:32:32Z,False,github-actions[bot]
2.0.6,2020-11-10T19:20:50Z,False,github-actions[bot]
2.0.5,2020-11-10T13:44:16Z,False,github-actions[bot]
2.0.4,2020-11-08T19:07:33Z,False,github-actions[bot]
2.0.3,2020-10-29T22:13:56Z,False,github-actions[bot]
2.0.2,2020-10-22T16:45:43Z,False,github-actions[bot]
2.0.1,2020-10-20T17:44:47Z,False,github-actions[bot]
1.10.16,2020-10-15T08:49:53Z,False,github-actions[bot]
1.10.15,2020-10-12T08:10:52Z,False,github-actions[bot]
2.0.0,2020-10-08T16:55:04Z,False,github-actions[bot]
2.0.0rc4,2020-10-05T23:02:33Z,False,github-actions[bot]
2.0.0rc3,2020-09-29T21:25:59Z,False,github-actions[bot]
2.0.0rc2,2020-09-24T16:29:25Z,False,github-actions[bot]
1.10.14,2020-09-23T10:50:03Z,False,github-actions[bot]
1.10.13,2020-09-22T11:52:33Z,False,github-actions[bot]
2.0.0rc1,2020-09-17T20:22:33Z,False,github-actions[bot]
2.0.0a4,2020-09-03T10:33:21Z,False,github-actions[bot]
1.10.12,2020-09-03T10:52:29Z,False,github-actions[bot]
2.0.0a3,2020-08-31T17:37:32Z,False,github-actions[bot]
1.10.11,2020-08-21T15:00:43Z,False,github-actions[bot]
1.10.10,2020-08-04T13:04:50Z,False,github-actions[bot]
1.10.9,2020-07-29T17:32:54Z,False,github-actions[bot]
1.10.8,2020-07-15T09:36:42Z,False,github-actions[bot]
2.0.0a1,2020-07-13T16:35:14Z,True,github-actions[bot]
1.10.7,2020-07-07T17:21:04Z,False,github-actions[bot]
1.10.6,2020-07-06T14:56:08Z,False,github-actions[bot]
1.10.5,2020-07-02T11:10:49Z,False,github-actions[bot]
1.10.4,2020-07-01T15:12:11Z,False,github-actions[bot]
1.10.3,2020-06-12T17:05:24Z,False,github-actions[bot]
1.10.2,2020-06-03T10:52:14Z,False,github-actions[bot]
1.10.1,2020-05-15T14:05:11Z,False,github-actions[bot]
1.10.0,2020-04-28T16:00:14Z,False,github-actions[bot]
1.9.7,2020-04-23T20:27:55Z,False,github-actions[bot]
1.10.0-alpha2,2020-04-22T15:11:39Z,False,github-actions[bot]
1.9.6,2020-04-15T11:15:13Z,False,github-actions[bot]
1.10.0-alpha1,2020-04-06T16:44:33Z,False,github-actions[bot]
1.9.5,2020-04-02T08:55:08Z,False,github-actions[bot]
1.9.4,2020-03-30T19:19:52Z,False,github-actions[bot]
1.9.3,2020-03-27T12:30:18Z,False,github-actions[bot]
1.8.3,2020-03-27T14:42:48Z,False,github-actions[bot]
1.9.2,2020-03-26T12:45:17Z,False,github-actions[bot]
1.9.1,2020-03-25T22:50:42Z,False,github-actions[bot]
1.9.0,2020-03-24T21:34:37Z,False,github-actions[bot]
1.8.2,2020-03-19T14:22:32Z,False,github-actions[bot]
1.8.1,2020-03-07T11:57:12Z,False,github-actions[bot]
1.7.4,2020-02-25T08:55:07Z,False,amn41
1.7.3,2020-02-21T18:15:26Z,False,amn41
1.7.2,2020-02-13T19:06:22Z,False,amn41
1.7.1,2020-02-11T16:10:15Z,False,amn41
1.7.0,2020-01-29T23:25:20Z,False,rasabot
1.6.2,2020-01-28T20:34:32Z,False,amn41
1.6.1,2020-01-07T11:11:27Z,False,amn41
1.6.0a2,2019-12-18T06:25:53Z,False,amn41
1.6.0,2019-12-18T16:10:39Z,False,amn41
1.6.0a1,2019-12-16T20:43:51Z,False,amn41
1.5.3,2019-12-11T17:18:10Z,False,amn41
1.3.1,2019-09-09T17:33:50Z,False,zesherk
0.15.0a1,2019-03-04T12:49:54Z,True,wochinge
0.14.4,2019-02-26T16:04:19Z,False,Ghostvv
