tag_name,published_at,prerelease,author_login
v9.6.1,2020-12-31T17:59:13Z,False,willmcgugan
v9.6.0,2020-12-30T15:36:10Z,False,willmcgugan
v9.5.1,2020-12-18T18:27:39Z,False,willmcgugan
v9.5.0,2020-12-18T16:08:33Z,False,willmcgugan
v9.4.0,2020-12-12T12:18:17Z,False,willmcgugan
v9.3.0,2020-12-01T17:12:40Z,False,willmcgugan
v9.2.0,2020-11-08T12:31:32Z,False,willmcgugan
v9.1.0,2020-10-23T17:01:02Z,False,willmcgugan
v9.0.1,2020-10-19T15:46:09Z,False,willmcgugan
v9.0.0,2020-10-18T11:21:14Z,False,willmcgugan
v8.0.0,2020-10-03T13:29:05Z,False,willmcgugan
v7.1.0,2020-09-26T15:22:58Z,False,willmcgugan
v7.0.0,2020-09-18T15:46:30Z,False,willmcgugan
v6.2.0,2020-09-14T16:47:26Z,False,willmcgugan
v6.1.2,2020-09-11T15:53:57Z,False,willmcgugan
v6.1.1,2020-09-08T14:35:55Z,False,willmcgugan
v6.1.0,2020-09-07T16:16:48Z,False,willmcgugan
v6.0.0,2020-08-25T16:32:04Z,False,willmcgugan
v5.2.1,2020-08-20T09:19:31Z,False,willmcgugan
v.5.2.0,2020-08-14T16:21:03Z,False,willmcgugan
v5.1.2,2020-08-10T15:46:09Z,False,willmcgugan
v5.1.0,2020-08-08T19:48:27Z,False,willmcgugan
v5.0.0,2020-08-02T11:23:18Z,False,willmcgugan
v4.2.1,2020-07-29T17:55:59Z,False,willmcgugan
v4.2.0,2020-07-27T16:43:30Z,False,willmcgugan
v4.1.0,2020-07-26T14:32:10Z,False,willmcgugan
v4.0.0,2020-07-23T16:04:12Z,False,willmcgugan
v3.4.1,2020-07-22T17:08:20Z,False,willmcgugan
v3.4.0,2020-07-22T16:20:39Z,False,willmcgugan
v3.3.2,2020-07-14T20:18:51Z,False,willmcgugan
v3.3.1,2020-07-13T15:27:41Z,False,willmcgugan
v3.3.0,2020-07-12T15:27:18Z,False,willmcgugan
v3.2.0,2020-07-10T16:48:57Z,False,willmcgugan
v3.1.0,2020-07-09T16:03:24Z,False,willmcgugan
v3.0.5,2020-07-07T17:16:15Z,False,willmcgugan
v3.0.4,2020-07-07T16:09:42Z,False,willmcgugan
v3.0.3,2020-07-03T18:28:27Z,False,willmcgugan
v3.0.2,2020-07-02T18:52:58Z,False,willmcgugan
v3.0.1,2020-06-30T20:54:09Z,False,willmcgugan
v3.0.0,2020-06-28T13:54:09Z,False,willmcgugan
v2.3.1,2020-06-26T16:45:50Z,False,willmcgugan
v2.3.0,2020-06-26T10:42:06Z,False,willmcgugan
v2.2.6,2020-06-24T20:29:02Z,False,willmcgugan
v2.2.5,2020-06-23T10:48:31Z,False,willmcgugan
v2.2.4,2020-06-21T11:34:16Z,False,willmcgugan
v2.2.3,2020-06-15T10:53:33Z,False,willmcgugan
v2.2.2,2020-06-14T15:37:05Z,False,willmcgugan
v2.2.1,2020-06-14T13:53:03Z,False,willmcgugan
v2.2.0,2020-06-14T13:24:02Z,False,willmcgugan
v2.1.0,2020-06-11T17:36:38Z,False,willmcgugan
v2.0.1,2020-06-10T11:56:28Z,False,willmcgugan
v2.0.0,2020-06-07T09:17:16Z,False,willmcgugan
v1.3.1,2020-06-01T18:20:15Z,False,willmcgugan
v1.3.0,2020-05-31T16:24:54Z,False,willmcgugan
v1.2.3,2020-05-24T19:53:42Z,False,willmcgugan
v1.2.2,2020-05-22T15:59:09Z,False,willmcgugan
v1.2.1,2020-05-22T14:23:10Z,False,willmcgugan
v1.2.0,2020-05-22T13:59:31Z,False,willmcgugan
v1.1.9,2020-05-20T17:56:28Z,False,willmcgugan
v1.1.8,2020-05-20T16:25:11Z,False,willmcgugan
v1.1.7,2020-05-19T17:01:43Z,False,willmcgugan
v1.1.5,2020-05-15T13:11:51Z,False,willmcgugan
v1.1.4,2020-05-15T11:47:45Z,False,willmcgugan
v1.1.3,2020-05-14T19:38:42Z,False,willmcgugan
v1.1.2,2020-05-14T19:17:28Z,False,willmcgugan
v1.1.1,2020-05-12T10:19:39Z,False,willmcgugan
v1.1.0,2020-05-10T13:33:18Z,False,willmcgugan
v1.0.3,2020-05-08T14:15:17Z,False,willmcgugan
v1.0.2,2020-05-08T13:04:13Z,False,willmcgugan
v1.0.1,2020-05-08T12:50:50Z,False,willmcgugan
v1.0.0,2020-05-03T10:28:26Z,False,willmcgugan
v0.8.12,2020-04-21T08:32:43Z,False,willmcgugan
v0.8.11,2020-04-14T14:39:47Z,False,willmcgugan
v0.8.10,2020-04-12T14:34:48Z,False,willmcgugan
v0.8.9,2020-04-12T11:54:48Z,False,willmcgugan
v0.8.8,2020-03-31T15:52:02Z,False,willmcgugan
v0.8.7,2020-03-31T13:28:57Z,False,willmcgugan
v0.8.6,2020-03-29T16:31:50Z,False,willmcgugan
v0.8.5,2020-03-29T13:01:20Z,False,willmcgugan
v0.8.3,2020-03-27T10:30:52Z,False,willmcgugan
v0.8.0,2020-03-17T17:16:20Z,False,willmcgugan
v0.7.2,2020-03-15T17:14:05Z,False,willmcgugan
v0.7.1,2020-03-13T16:54:00Z,False,willmcgugan
v0.6.0,2020-03-03T16:20:09Z,False,willmcgugan
v0.3.3,2020-02-04T18:29:03Z,False,willmcgugan
v0.3.2,2020-01-26T16:10:38Z,False,willmcgugan
