tag_name,published_at,prerelease,author_login
v2.0.0.dev2,2020-10-05T00:26:18Z,True,tburrows13
v2.0.0.dev1,2020-06-04T10:22:12Z,True,tburrows13
v1.0.3,2020-05-07T16:29:35Z,False,tburrows13
v1.0.2,2020-03-26T10:47:49Z,False,tburrows13
v1.0.1,2019-10-01T19:03:41Z,False,tburrows13
v1.0.0,2019-10-01T18:58:52Z,False,tburrows13
v0.2.3.5,2018-05-31T20:43:23Z,False,tburrows13
v0.2.3.4,2018-04-22T18:18:06Z,False,tburrows13
v0.2.3.3,2018-04-18T14:58:28Z,False,tburrows13
v0.2.3.2,2018-04-18T17:18:06Z,False,mbeacom
v0.2.3.1,2017-04-05T03:08:27Z,False,mbeacom
v0.2.2.13,2017-02-15T14:22:12Z,False,mbeacom
v0.2.2.12,2017-02-03T04:27:54Z,False,mbeacom
v0.2.2,2014-12-11T21:54:54Z,False,Zulko
