tag_name,published_at,prerelease,author_login
v3.7.3,2020-11-18T19:38:17Z,False,asvetlov
v3.7.2,2020-10-27T08:09:32Z,False,asvetlov
v3.7.1,2020-10-25T07:49:55Z,False,asvetlov
v3.7.0,2020-10-24T08:39:14Z,False,asvetlov
v4.0.0a1,2019-10-09T11:30:04Z,False,asvetlov
v3.6.2a1,2019-10-09T15:09:21Z,False,asvetlov
v3.6.2,2019-10-09T16:55:32Z,False,asvetlov
v3.6.2a2,2019-10-09T15:27:42Z,True,asvetlov
v3.6.1,2019-09-22T08:52:32Z,False,asvetlov
v3.6.0,2019-09-07T07:46:03Z,False,asvetlov
v3.5.4,2019-01-12T15:57:07Z,False,asvetlov
v3.5.3,2019-01-12T15:56:06Z,False,asvetlov
v3.5.2,2019-01-09T18:23:35Z,False,asvetlov
v3.5.1,2018-12-24T23:29:39Z,False,asvetlov
v3.5.0,2018-12-22T23:28:01Z,False,asvetlov
v3.4.4,2018-09-05T14:10:11Z,False,asvetlov
v3.4.3,2018-09-05T14:09:28Z,False,asvetlov
v3.4.2,2018-09-01T21:21:51Z,False,asvetlov
v3.4.1,2018-08-28T22:38:26Z,False,asvetlov
v3.4.0,2018-08-25T12:19:49Z,False,asvetlov
v3.3.2,2018-06-14T08:40:26Z,False,asvetlov
v3.3.1,2018-06-05T21:00:46Z,False,asvetlov
v3.3.0,2018-06-01T13:08:14Z,False,asvetlov
v3.2.1,2018-05-10T08:52:42Z,False,asvetlov
v3.2.0,2018-05-07T07:07:18Z,False,asvetlov
v3.1.3,2018-04-13T11:03:58Z,False,asvetlov
v3.1.2,2018-04-06T06:19:06Z,False,asvetlov
v3.1.1,2018-03-27T14:56:43Z,False,asvetlov
v3.1.0,2018-03-22T02:32:46Z,False,asvetlov
v3.0.9,2018-03-14T13:35:56Z,False,asvetlov
v3.0.8,2018-03-13T09:58:11Z,False,asvetlov
v3.0.7,2018-03-08T17:55:32Z,False,asvetlov
v3.0.6,2018-03-04T23:10:37Z,False,asvetlov
v3.0.5,2018-02-27T18:27:54Z,False,asvetlov
v3.0.4,2018-02-26T15:37:17Z,False,asvetlov
v3.0.3,2018-02-26T15:36:44Z,False,asvetlov
v3.0.2,2018-02-23T09:32:04Z,False,asvetlov
v3.0.1,2018-02-12T13:23:21Z,False,asvetlov
v2.3.7,2017-12-27T09:06:45Z,False,asvetlov
v2.3.6,2017-12-04T17:41:53Z,False,asvetlov
v2.3.5,2017-11-30T09:12:23Z,False,asvetlov
v2.3.4,2017-11-29T14:40:50Z,False,asvetlov
v2.3.3,2017-11-17T09:34:31Z,False,asvetlov
v2.3.2,2017-11-01T15:31:49Z,False,asvetlov
v2.3.1,2017-10-20T06:07:47Z,False,asvetlov
v2.3.0,2017-10-18T08:41:17Z,False,asvetlov
v2.2.0,2017-06-20T11:43:52Z,False,asvetlov
v2.1.0,2017-05-26T15:24:24Z,False,asvetlov
2.0.7,2017-04-12T22:37:15Z,False,fafhrd91
2.0.6,2017-04-06T14:53:54Z,False,fafhrd91
2.0.5,2017-03-29T18:06:14Z,False,fafhrd91
2.0.4,2017-03-27T18:55:28Z,False,fafhrd91
2.0.3-1,2017-03-24T21:26:20Z,False,fafhrd91
2.0.2,2017-03-23T06:45:44Z,False,fafhrd91
2.0.1,2017-03-21T16:43:12Z,False,fafhrd91
2.0.0,2017-03-20T17:12:48Z,False,fafhrd91
1.3.5,2017-03-16T16:19:17Z,False,fafhrd91
2.0.0rc1,2017-03-15T17:49:38Z,True,fafhrd91
1.3.4,2017-03-15T02:42:42Z,False,fafhrd91
1.3.3,2017-02-20T02:15:16Z,False,fafhrd91
1.3.2,2017-02-16T19:12:32Z,False,fafhrd91
1.3.1,2017-02-09T14:51:02Z,False,fafhrd91
1.3.0,2017-02-08T18:40:49Z,False,fafhrd91
v1.2.0,2016-12-17T04:37:29Z,False,asvetlov
v1.1.4,2016-11-14T17:15:59Z,False,asvetlov
v1.1.3,2016-11-10T21:05:21Z,False,asvetlov
v1.1.2,2016-11-08T16:20:19Z,False,asvetlov
v1.1.1,2016-11-04T08:56:12Z,False,asvetlov
v1.1.0,2016-11-03T20:52:15Z,False,asvetlov
v1.0.5,2016-10-11T17:40:38Z,False,asvetlov
v1.0.4,2016-10-04T16:10:28Z,False,asvetlov
v1.0.2,2016-09-22T09:22:36Z,False,asvetlov
v1.0.1,2016-09-16T20:00:52Z,False,asvetlov
v1.0.0,2016-09-16T12:50:07Z,False,asvetlov
v0.22.5,2016-08-02T18:01:01Z,False,asvetlov
v0.22.4,2016-07-28T11:23:11Z,False,asvetlov
v0.22.3,2016-07-26T19:56:16Z,False,asvetlov
v0.22.2,2016-07-23T13:21:25Z,False,asvetlov
v0.22.1,2016-07-16T11:34:02Z,False,asvetlov
v0.22.0,2016-07-15T08:54:25Z,False,asvetlov
4v0.21.6,2016-05-05T12:10:07Z,False,asvetlov
v0.21.4,2016-03-12T17:24:17Z,False,asvetlov
v0.21.2,2016-02-16T15:00:30Z,False,asvetlov
