tag_name,published_at,prerelease,author_login
v1.3.0,2020-12-15T22:10:16Z,False,AkshitaB
v1.2.2,2020-11-17T18:26:44Z,False,epwalsh
v1.2.1,2020-11-11T00:22:48Z,False,epwalsh
v1.2.0,2020-10-29T21:37:50Z,False,AkshitaB
v1.2.0rc1,2020-10-22T21:45:38Z,True,AkshitaB
v1.1.0,2020-09-08T20:32:48Z,False,epwalsh
v1.1.0rc4,2020-08-20T18:50:56Z,True,AkshitaB
v1.1.0rc3,2020-08-12T20:18:44Z,True,epwalsh
v1.1.0rc2,2020-07-31T17:03:21Z,True,epwalsh
v1.1.0rc1,2020-07-14T21:00:22Z,True,epwalsh
v1.0.0,2020-06-16T18:29:23Z,False,schmmd
v1.0.0rc6,2020-06-11T21:44:35Z,True,epwalsh
v1.0.0rc5,2020-05-26T23:19:58Z,False,dirkgr
v1.0.0rc4,2020-05-14T21:01:15Z,True,epwalsh
v1.0.0rc3,2020-04-27T20:10:54Z,True,epwalsh
v1.0.0.rc2,2020-04-23T21:38:44Z,True,epwalsh
v1.0.0.rc1,2020-04-16T23:15:30Z,True,dirkgr
v0.9.0,2019-09-25T14:34:32Z,False,matt-gardner
v0.8.5,2019-08-21T18:10:25Z,False,joelgrus
v0.8.4,2019-05-30T22:14:32Z,False,schmmd
v0.8.3,2019-03-29T23:44:27Z,False,joelgrus
v0.8.2,2019-02-19T16:59:36Z,False,schmmd
v0.8.1,2019-01-08T17:29:13Z,False,schmmd
v0.8.0,2018-12-20T00:14:13Z,False,schmmd
v0.7.2,2018-12-03T21:37:05Z,False,schmmd
v0.7.1,2018-11-12T16:24:56Z,False,schmmd
v0.7.0,2018-10-05T23:01:59Z,False,joelgrus
v0.6.1,2018-08-31T00:19:25Z,False,schmmd
v0.6.0,2018-08-15T17:56:03Z,False,joelgrus
v0.5.1,2018-06-14T00:23:07Z,False,joelgrus
v0.5.0,2018-06-13T18:26:49Z,False,schmmd
v0.4.3,2018-05-25T01:42:09Z,False,schmmd
v0.4.2,2018-05-01T18:03:29Z,False,schmmd
v0.4.1,2018-03-23T22:40:12Z,False,DeNeutoy
v0.4.0,2018-02-20T21:54:32Z,False,schmmd
v0.3.0,2017-12-15T16:26:27Z,False,schmmd
v0.2.3,2017-12-06T19:05:30Z,False,DeNeutoy
v0.2.0,2017-09-08T13:57:04Z,False,schmmd
