tag_name,published_at,prerelease,author_login
2.0.0,2020-12-18T13:21:47Z,False,kaxil
1.10.14,2020-12-10T15:11:26Z,False,kaxil
upgrade-check/1.0.0,2020-12-02T12:19:41Z,False,ashb
1.10.13,2020-11-25T14:03:23Z,False,kaxil
2.0.0b3,2020-11-20T11:01:02Z,True,ashb
2.0.0b2,2020-12-02T12:21:13Z,True,ashb
1.10.12,2020-08-25T19:02:05Z,False,kaxil
1.10.11,2020-07-10T15:22:29Z,False,kaxil
1.10.10,2020-04-09T20:10:58Z,False,kaxil
1.10.9,2020-02-19T22:47:08Z,False,kaxil
1.10.8,2020-02-07T04:04:24Z,False,kaxil
1.10.7,2019-12-24T14:47:22Z,False,kaxil
1.10.6rc1,2019-10-18T16:05:44Z,True,ashb
1.10.5,2019-09-04T10:35:13Z,False,kaxil
1.10.4rc3,2019-07-17T15:09:04Z,True,ashb
1.10.3,2019-07-17T15:10:46Z,False,ashb
1.7.0,2016-03-28T19:32:48Z,False,mistercrunch
1.6.2,2016-01-04T20:29:18Z,False,mistercrunch
1.6.1,2015-11-15T06:20:57Z,False,mistercrunch
1.6.0,2015-11-13T01:10:47Z,False,mistercrunch
1.5.2,2015-10-23T06:13:39Z,False,mistercrunch
1.5.1,2015-09-04T16:49:36Z,False,mistercrunch
1.5.0,2015-09-04T06:29:30Z,False,mistercrunch
1.4.0,2015-08-18T22:34:52Z,False,mistercrunch
