tag_name,published_at,prerelease,author_login
v6.8.1,2020-11-28T16:15:17Z,False,apprenticeharper
v6.8.0,2020-06-18T07:27:56Z,False,apprenticeharper
v6.7.0,2020-02-17T12:12:32Z,False,apprenticeharper
v6.6.3,2019-03-30T15:58:19Z,False,apprenticeharper
v6.6.2,2019-02-23T16:36:51Z,False,apprenticeharper
v6.6.1,2018-06-02T15:50:45Z,False,apprenticeharper
v6.6.0,2018-04-05T17:29:35Z,False,apprenticeharper
v6.5.5,2017-10-20T07:19:22Z,False,apprenticeharper
v6.5.4,2017-06-27T06:16:03Z,False,apprenticeharper
v6.5.3,2017-01-12T07:43:57Z,False,apprenticeharper
v6.5.2,2016-10-10T06:13:28Z,False,apprenticeharper
v6.5.1,2016-08-12T05:36:08Z,False,apprenticeharper
v6.5.0,2016-08-05T16:42:22Z,False,apprenticeharper
v6.4.3,2016-04-28T05:41:36Z,False,apprenticeharper
v6.4.2,2016-04-18T16:50:01Z,False,apprenticeharper
v6.4.1,2016-04-14T05:50:32Z,False,apprenticeharper
v6.4.0,2016-03-14T06:47:41Z,False,apprenticeharper
v6.3.6a,2016-01-15T06:41:59Z,False,apprenticeharper
v6.3.6,2016-01-14T17:27:59Z,False,apprenticeharper
v6.3.5,2016-01-11T06:55:01Z,False,apprenticeharper
v6.3.4a,2015-10-05T06:57:31Z,False,apprenticeharper
v6.3.4,2015-09-03T07:14:21Z,False,apprenticeharper
v6.3.3,2015-08-12T17:42:50Z,False,apprenticeharper
v6.3.2,2015-08-09T09:30:33Z,False,apprenticeharper
v6.3.1,2015-08-03T06:27:13Z,False,apprenticeharper
v6.2.2,2015-07-11T13:23:26Z,False,apprenticeharper
v6.2.1,2015-03-25T07:37:39Z,False,apprenticeharper
v6.2.0,2015-03-09T17:47:56Z,False,apprenticeharper
v6.1.0,2015-03-09T17:49:00Z,False,apprenticeharper
v6.0.9,2015-03-09T17:52:03Z,False,apprenticeharper
v6.0.8,2015-03-09T17:52:51Z,False,apprenticeharper
v6.0.7,2015-03-09T17:53:36Z,False,apprenticeharper
v6.0.5,2015-03-09T17:54:40Z,False,apprenticeharper
v6.0.4,2015-03-09T17:55:29Z,False,apprenticeharper
v6.0.3,2015-03-09T17:56:18Z,False,apprenticeharper
v6.0.2,2015-03-10T06:46:33Z,False,apprenticeharper
v6.0.1,2015-03-10T06:48:24Z,False,apprenticeharper
v6.0.0,2015-03-10T06:48:28Z,False,apprenticeharper
v5.6.2,2015-03-10T06:48:32Z,False,apprenticeharper
v5.6.1,2015-03-10T06:48:36Z,False,apprenticeharper
v5.6,2015-03-10T06:48:42Z,False,apprenticeharper
v5.5.3,2015-03-10T06:48:47Z,False,apprenticeharper
v5.5.2,2015-03-10T06:51:11Z,False,apprenticeharper
v5.5.1,2015-03-10T06:51:11Z,False,apprenticeharper
v5.5,2015-03-10T06:51:18Z,False,apprenticeharper
v5.4.1,2015-03-10T06:53:48Z,False,apprenticeharper
v5.4,2015-03-10T06:51:40Z,False,apprenticeharper
v5.3.1,2015-03-10T06:51:37Z,False,apprenticeharper
v5.3,2015-03-10T06:55:50Z,False,apprenticeharper
v5.2,2015-03-10T06:55:54Z,False,apprenticeharper
v5.1,2015-03-10T06:55:58Z,False,apprenticeharper
v5.0,2015-03-10T06:56:02Z,False,apprenticeharper
v4.8,2015-03-10T06:55:48Z,False,apprenticeharper
v4.7,2015-03-10T06:56:13Z,False,apprenticeharper
v4.6,2015-03-10T06:58:42Z,False,apprenticeharper
v4.5,2015-03-10T06:58:50Z,False,apprenticeharper
v4.0,2015-03-10T06:58:51Z,False,apprenticeharper
v3.8,2015-03-10T06:58:55Z,False,apprenticeharper
v3.7,2015-03-10T06:58:58Z,False,apprenticeharper
v3.6,2015-03-10T06:59:02Z,False,apprenticeharper
v3.5,2015-03-10T06:59:07Z,False,apprenticeharper
v3.4,2015-03-10T06:59:11Z,False,apprenticeharper
v3.3,2015-03-10T07:17:17Z,False,apprenticeharper
v3.2,2015-03-10T07:16:43Z,False,apprenticeharper
v3.1,2015-03-10T07:17:03Z,False,apprenticeharper
v3.0,2015-03-10T07:16:50Z,False,apprenticeharper
v2.4,2015-03-10T07:18:59Z,False,apprenticeharper
v2.3,2015-03-10T07:18:41Z,False,apprenticeharper
v2.2,2015-03-10T07:18:44Z,False,apprenticeharper
v2.1,2015-03-10T07:18:48Z,False,apprenticeharper
v2.0,2015-03-10T07:19:05Z,False,apprenticeharper
v1.8,2015-03-10T07:21:18Z,False,apprenticeharper
v1.6,2015-03-10T07:21:21Z,False,apprenticeharper
v1.5,2015-03-10T07:21:24Z,False,apprenticeharper
v1.4,2015-03-10T07:21:28Z,False,apprenticeharper
v1.3,2015-03-10T07:21:32Z,False,apprenticeharper
v1.1,2015-03-10T07:21:37Z,False,apprenticeharper
v1.0,2015-03-10T07:22:08Z,False,apprenticeharper
