tag_name,published_at,prerelease,author_login
v1.4.9,2019-05-31T00:09:15Z,False,sampsyo
v1.4.8,2019-05-17T00:48:11Z,False,sampsyo
v1.4.7,2018-05-29T20:29:13Z,False,sampsyo
v1.4.6,2017-12-21T18:18:58Z,False,sampsyo
v1.4.5,2017-06-20T18:57:25Z,False,sampsyo
v1.4.4,2017-06-10T20:36:53Z,False,sampsyo
v1.4.3,2017-01-09T15:42:28Z,False,sampsyo
v1.4.2,2016-12-17T03:17:45Z,False,sampsyo
v1.4.1,2016-11-26T03:31:14Z,False,sampsyo
v1.3.19,2016-06-26T00:55:01Z,False,sampsyo
v1.3.18,2016-05-31T17:54:35Z,False,sampsyo
v1.3.17,2016-02-08T06:57:43Z,False,sampsyo
v1.3.16,2015-12-29T00:58:13Z,False,sampsyo
v1.3.15,2015-10-18T00:47:01Z,False,sampsyo
v1.3.14,2015-08-03T05:48:49Z,False,sampsyo
v1.3.13,2015-04-24T15:57:14Z,False,sampsyo
v1.3.12,2015-04-19T00:20:38Z,False,sampsyo
v1.3.11,2015-04-06T04:28:29Z,False,sampsyo
v1.3.10,2015-01-05T20:22:46Z,False,sampsyo
v1.3.9,2014-11-17T23:57:05Z,False,sampsyo
v1.3.8,2014-09-18T02:22:28Z,False,sampsyo
v1.3.7,2014-08-22T19:51:03Z,False,sampsyo
v1.3.6,2014-05-11T01:22:34Z,False,sampsyo
v1.3.5,2014-04-16T04:26:37Z,False,sampsyo
v1.3.4,2014-04-05T18:48:26Z,False,sampsyo
v1.3.3,2014-02-27T04:46:47Z,False,sampsyo
v1.3.2,2013-12-23T00:26:51Z,False,sampsyo
v1.3.1,2013-10-13T02:15:43Z,False,sampsyo
v1.3.0,2013-09-11T23:35:49Z,False,sampsyo
v1.2.2,2013-08-27T16:27:32Z,False,sampsyo
v1.2.1,2013-07-09T04:33:15Z,False,sampsyo
