tag_name,published_at,prerelease,author_login
v0.3.10,2018-04-18T04:25:22Z,False,binux
v0.3.9,2017-03-18T21:00:11Z,False,binux
v0.3.8,2016-08-18T20:06:54Z,False,binux
v0.3.7,2016-04-20T20:42:26Z,False,binux
v0.3.6,2015-11-10T00:33:20Z,False,binux
v0.3.5,2015-05-22T16:02:04Z,False,binux
v0.3.4,2015-04-21T15:01:18Z,False,binux
v0.3.3,2015-03-08T13:32:39Z,False,binux
v0.3.2,2015-02-11T16:33:09Z,False,binux
v0.3.1,2015-01-22T15:59:31Z,False,binux
v0.3.0,2015-01-11T05:38:50Z,False,binux
v0.2.0,2014-11-12T13:24:56Z,True,binux
v0.1.0,2014-03-09T03:08:02Z,True,binux
