tag_name,published_at,prerelease,author_login
1.1.15,2020-12-25T09:22:19Z,False,ThomasWaldmann
1.2.0b1,2020-12-06T23:48:46Z,True,ThomasWaldmann
1.1.15b1,2020-10-13T09:32:39Z,True,ThomasWaldmann
1.1.14,2020-10-06T22:17:58Z,False,ThomasWaldmann
1.2.0a9,2020-10-05T11:47:49Z,True,ThomasWaldmann
1.1.13,2020-06-06T22:42:18Z,False,ThomasWaldmann
1.1.12,2020-06-06T13:41:51Z,True,ThomasWaldmann
1.2.0a8,2020-04-22T20:38:55Z,True,ThomasWaldmann
1.1.11,2020-03-08T00:12:39Z,False,ThomasWaldmann
1.2.0a7,2019-09-07T03:53:47Z,True,ThomasWaldmann
1.1.10,2019-05-16T03:28:50Z,False,ThomasWaldmann
1.2.0a6,2019-04-22T18:30:08Z,True,ThomasWaldmann
1.2.0a5,2019-03-21T20:37:08Z,True,ThomasWaldmann
1.2.0a4,2019-03-11T01:23:07Z,True,ThomasWaldmann
1.2.0a3,2019-02-26T21:59:48Z,True,ThomasWaldmann
1.2.0a2,2019-02-24T20:35:19Z,True,ThomasWaldmann
1.0.13,2019-02-15T11:29:59Z,False,ThomasWaldmann
1.1.9,2019-02-11T01:34:24Z,False,ThomasWaldmann
1.1.8,2018-12-09T03:08:21Z,False,ThomasWaldmann
1.1.7,2018-08-11T19:45:01Z,False,ThomasWaldmann
1.1.6,2018-06-11T11:11:15Z,False,ThomasWaldmann
1.0.12,2018-04-08T18:09:27Z,False,ThomasWaldmann
1.1.5,2018-03-31T22:08:36Z,False,ThomasWaldmann
1.1.4,2017-12-30T12:19:02Z,False,ThomasWaldmann
1.1.3,2017-11-27T05:00:31Z,False,ThomasWaldmann
1.1.2,2017-11-06T00:10:52Z,False,ThomasWaldmann
1.1.1,2017-10-22T21:29:01Z,False,ThomasWaldmann
1.1.0,2017-10-07T23:44:41Z,False,ThomasWaldmann
1.1.0rc4,2017-10-01T02:59:57Z,True,ThomasWaldmann
1.1.0rc3,2017-09-10T01:28:08Z,True,ThomasWaldmann
1.1.0rc2,2017-08-28T00:37:48Z,True,ThomasWaldmann
1.1.0rc1,2017-07-23T23:30:02Z,True,ThomasWaldmann
1.0.11,2017-07-21T01:52:02Z,False,ThomasWaldmann
1.0.11rc1,2017-06-26T22:47:26Z,True,ThomasWaldmann
1.1.0b6,2017-06-18T14:58:13Z,True,ThomasWaldmann
1.1.0b5,2017-04-30T12:47:41Z,True,ThomasWaldmann
1.1.0b4,2017-03-27T22:18:09Z,True,ThomasWaldmann
1.0.10,2017-02-13T11:11:50Z,False,ThomasWaldmann
1.0.10rc1,2017-01-29T02:40:29Z,True,ThomasWaldmann
1.1.0b3,2017-01-15T19:05:08Z,True,ThomasWaldmann
1.0.9,2016-12-20T04:05:32Z,False,ThomasWaldmann
1.0.1,2016-04-09T15:32:24Z,False,ThomasWaldmann
1.0.0rc1,2016-02-07T13:21:25Z,False,ThomasWaldmann
1.0.9rc1,2016-11-27T05:23:39Z,True,ThomasWaldmann
1.0.8,2016-10-29T11:32:10Z,False,ThomasWaldmann
1.0.8rc1,2016-10-17T02:27:47Z,True,ThomasWaldmann
1.1.0b2,2016-10-01T21:30:14Z,True,ThomasWaldmann
1.1.0b1,2016-08-28T02:05:33Z,True,ThomasWaldmann
1.0.7bin,2016-08-18T23:22:38Z,False,ThomasWaldmann
1.0.7,2016-08-19T19:57:07Z,False,ThomasWaldmann
1.0.7rc2,2016-08-13T03:34:59Z,False,ThomasWaldmann
1.0.7rc1,2016-08-05T21:16:39Z,False,ThomasWaldmann
1.0.6,2016-07-12T21:17:57Z,False,ThomasWaldmann
1.0.6rc1,2016-07-10T17:55:05Z,False,ThomasWaldmann
1.0.5,2016-07-07T20:41:12Z,False,ThomasWaldmann
1.0.4,2016-07-07T16:50:17Z,False,ThomasWaldmann
1.0.3,2016-05-20T20:06:07Z,False,ThomasWaldmann
1.0.2,2016-04-16T12:34:54Z,False,ThomasWaldmann
1.0.0,2016-03-05T21:49:24Z,False,ThomasWaldmann
1.0.0rc2,2016-02-28T16:00:50Z,False,ThomasWaldmann
0.30.1,2016-02-07T23:55:10Z,False,ThomasWaldmann
0.30.0,2016-01-24T00:07:03Z,False,ThomasWaldmann
0.29.0,2015-12-13T18:14:53Z,False,ThomasWaldmann
0.28.2,2015-11-15T21:30:09Z,False,ThomasWaldmann
0.28.1,2015-11-08T16:19:02Z,False,ThomasWaldmann
0.28.0,2015-11-08T01:23:51Z,False,ThomasWaldmann
0.27.0,2015-10-07T12:55:51Z,False,ThomasWaldmann
0.26.1,2015-10-06T23:22:32Z,False,ThomasWaldmann
