tag_name,published_at,prerelease,author_login
1.9-p1,2020-07-31T08:56:28Z,False,budtmo
1.9-p0,2020-07-13T12:23:51Z,False,budtmo
1.8-p16,2020-06-18T14:11:21Z,False,budtmo
1.8-p15,2020-05-08T13:04:54Z,False,budtmo
1.8-p14,2020-04-15T11:14:55Z,False,budtmo
1.8-p13,2020-04-15T10:46:12Z,False,budtmo
1.8-p12,2019-11-20T14:39:14Z,False,budtmo
1.8-p11,2019-10-22T06:14:01Z,False,budtmo
1.8-p10,2019-09-17T12:52:23Z,False,budtmo
1.8-p9,2019-09-16T09:02:41Z,False,budtmo
1.8-p8,2019-07-26T14:59:36Z,False,budtmo
1.8-p7,2019-07-25T10:59:57Z,False,budtmo
1.8-p6,2019-07-10T14:20:23Z,False,budtmo
1.8-p5,2019-07-09T12:56:41Z,False,budtmo
1.8-p4,2019-07-05T07:38:57Z,False,budtmo
1.8-p3,2019-07-02T09:29:27Z,False,budtmo
1.8-p2,2019-06-13T13:52:46Z,False,budtmo
1.8-p1,2019-05-29T13:09:42Z,False,budtmo
1.8-p0,2019-05-06T09:36:06Z,False,budtmo
1.7-p1,2019-04-04T11:04:01Z,False,budtmo
1.7-p0,2019-03-11T15:56:07Z,False,budtmo
1.6-p8,2019-03-01T11:47:59Z,False,budtmo
1.6-p7,2019-03-01T10:15:54Z,False,budtmo
1.6-p6,2019-02-21T16:58:27Z,False,budtmo
1.6-p5,2019-02-19T09:28:55Z,False,budtmo
1.6-p4,2019-01-31T13:35:47Z,False,budtmo
1.6-p3,2019-01-30T14:03:30Z,False,budtmo
1.6-p2,2019-01-16T09:50:57Z,False,budtmo
1.6-p1,2019-01-15T09:21:10Z,False,budtmo
1.6-p0,2019-01-08T09:51:20Z,False,budtmo
1.5-p6,2018-11-29T08:42:02Z,False,budtmo
1.5-p5,2018-11-22T17:07:21Z,False,budtmo
1.5-p4,2018-11-19T12:02:53Z,False,budtmo
1.5-p3,2018-11-14T13:00:02Z,False,budtmo
1.5-p2,2018-10-26T13:54:50Z,False,budtmo
1.5-p1,2018-10-26T13:09:44Z,False,budtmo
1.5-p0,2018-10-23T14:22:51Z,False,budtmo
1.4-p1,2018-09-27T07:53:40Z,False,budtmo
1.4-p0,2018-09-10T08:46:25Z,False,budtmo
1.3-p5,2018-08-21T14:24:23Z,False,budtmo
1.3-p4,2018-08-16T16:05:48Z,False,budtmo
1.3-p3,2018-08-03T14:01:34Z,False,budtmo
1.3-p2,2018-07-31T07:08:18Z,False,budtmo
1.3-p1,2018-07-25T10:28:56Z,False,budtmo
1.3-p0,2018-07-20T13:03:42Z,False,budtmo
1.2,2018-07-10T17:20:18Z,False,budtmo
1.1,2018-07-05T17:16:26Z,False,budtmo
1.1-p1,2018-07-05T18:42:17Z,False,budtmo
1.0,2018-06-21T22:42:02Z,False,budtmo
0.9-p5,2018-05-12T09:16:48Z,False,budtmo
0.9-p4,2018-04-29T16:08:33Z,False,budtmo
0.9-p3,2018-03-21T12:26:33Z,False,budtmo
0.9-p2,2018-02-12T17:17:20Z,False,budtmo
0.9-p1,2018-01-29T16:16:12Z,False,budtmo
0.9,2017-11-21T15:52:35Z,False,budtmo
0.8,2017-11-01T14:58:21Z,False,budtmo
0.7,2017-06-14T13:45:45Z,False,budtmo
0.6,2017-05-29T12:44:50Z,False,budtmo
0.5,2017-05-19T10:46:50Z,False,budtmo
