tag_name,published_at,prerelease,author_login
v0.8.8,2020-09-02T12:00:50Z,False,caronc
v0.9.0,2020-12-30T21:45:19Z,False,caronc
v0.8.9,2020-10-04T19:41:34Z,False,caronc
v0.8.7,2020-08-13T21:42:37Z,False,caronc
v0.8.6,2020-06-13T15:05:52Z,False,caronc
v0.8.5,2020-03-30T21:25:40Z,False,caronc
v0.8.4,2020-02-01T18:46:10Z,False,caronc
v0.8.3,2020-01-13T00:04:34Z,False,caronc
v0.8.2,2019-11-26T00:36:35Z,False,caronc
v0.8.1,2019-10-14T01:58:01Z,False,caronc
v0.8.0,2019-09-21T01:26:30Z,False,caronc
v0.7.9,2019-07-20T03:10:46Z,False,caronc
v0.7.8,2019-06-06T17:22:17Z,False,caronc
v0.7.7,2019-06-01T02:52:44Z,False,caronc
v0.7.6,2019-04-17T00:00:44Z,False,caronc
v0.7.5,2019-04-07T17:10:12Z,False,caronc
v0.7.4,2019-03-10T20:00:00Z,False,caronc
v0.7.3,2019-02-17T14:16:04Z,False,caronc
v0.5.2,2018-10-15T00:23:23Z,False,caronc
v0.5.0,2018-09-09T16:38:56Z,False,caronc
v0.0.9,2018-05-31T00:29:44Z,False,caronc
v0.0.8,2018-03-14T00:03:23Z,False,caronc
v0.0.7,2018-03-12T00:16:51Z,False,caronc
