tag_name,published_at,prerelease,author_login
v5.0.5,2020-12-16T15:41:18Z,False,thedrow
v5.0.4,2020-12-16T15:40:57Z,False,thedrow
v5.0.3,2020-12-16T15:40:18Z,False,thedrow
v5.0.2,2020-11-03T10:26:48Z,False,auvipy
v5.0.1,2020-10-18T14:39:33Z,False,thedrow
v5.0.0,2020-09-25T02:59:44Z,False,auvipy
v4.4.7,2020-07-31T17:44:53Z,False,auvipy
v4.4.6,2020-06-24T08:42:18Z,False,auvipy
v4.4.5,2020-06-08T06:11:15Z,False,auvipy
v4.4.4,2020-06-03T05:09:42Z,False,auvipy
4.4.3,2020-06-01T09:53:44Z,False,auvipy
4.4.2,2020-04-16T01:55:03Z,False,auvipy
4.4.1,2020-03-02T11:07:19Z,False,auvipy
4.4.0,2019-12-16T06:01:53Z,False,auvipy
4.4.0rc5,2019-12-07T15:09:04Z,False,auvipy
v3.0.20,2013-07-03T10:43:44Z,False,ask
