tag_name,published_at,prerelease,author_login
v1.10.1,2020-12-03T20:31:25Z,False,bmw
v1.10.0,2020-12-01T21:32:34Z,False,bmw
v1.9.0,2020-10-07T01:55:19Z,False,ohemorange
v1.8.0,2020-09-08T19:11:33Z,False,bmw
v1.7.0,2020-08-04T19:42:50Z,False,ohemorange
v1.6.0,2020-07-07T19:22:03Z,False,bmw
v1.5.0,2020-06-02T18:47:42Z,False,bmw
v1.4.0,2020-05-06T19:23:15Z,False,ohemorange
v1.3.0,2020-03-03T21:35:32Z,False,bmw
v1.2.0,2020-02-05T23:48:13Z,False,bmw
v1.1.0,2020-01-14T19:57:23Z,False,bmw
v1.0.0,2019-12-03T18:29:37Z,False,bmw
v0.40.1,2019-11-07T18:43:58Z,False,bmw
