tag_name,published_at,prerelease,author_login
v0.8.1,2020-12-22T17:27:36Z,False,VirtuallyChris
v0.8,2020-11-29T05:27:21Z,False,VirtuallyChris
v0.7.10,2020-10-30T18:07:26Z,False,VirtuallyChris
v0.7.9,2020-10-09T18:49:53Z,False,VirtuallyChris
v0.7.8,2020-08-21T22:41:38Z,False,VirtuallyChris
v0.7.7,2020-07-21T00:00:43Z,False,VirtuallyChris
v0.7.6.1,2020-06-23T19:09:25Z,False,VirtuallyChris
v0.7.5,2020-05-13T20:25:08Z,False,VirtuallyChris
v0.7.4,2020-03-21T19:00:49Z,False,vanillagorillaa
v0.7.3,2020-03-07T05:28:13Z,False,vanillagorillaa
v0.7.2,2020-02-13T21:21:54Z,False,vanillagorillaa
v0.7.1,2020-01-22T01:33:55Z,False,vanillagorillaa
v0.7,2019-12-30T22:53:18Z,False,rbiasini
v0.6.6,2019-11-12T00:34:25Z,False,vanillagorillaa
v0.6.5,2019-10-15T01:47:30Z,False,vanillagorillaa
v0.6.4,2019-09-17T00:57:00Z,False,vanillagorillaa
v0.6.3,2019-08-16T18:01:00Z,False,vanillagorillaa
v0.6.2,2019-08-05T18:22:23Z,False,vanillagorillaa
v0.6.1,2019-07-25T01:17:19Z,False,vanillagorillaa
v0.6,2019-07-03T21:39:53Z,False,vanillagorillaa
v0.5.13,2019-06-12T01:29:20Z,False,vanillagorillaa
v0.5.12,2019-05-22T22:47:11Z,False,vanillagorillaa
v0.5.11,2019-05-10T01:11:08Z,False,vanillagorillaa
v0.5.10,2019-04-02T17:27:16Z,False,vanillagorillaa
v0.5.9,2019-02-25T20:03:02Z,False,vanillagorillaa
v0.5.8,2019-02-02T06:12:19Z,False,vanillagorillaa
v0.5.7,2018-12-18T03:53:02Z,False,vanillagorillaa
v0.4.1,2018-01-31T06:02:09Z,False,geohot
