tag_name,published_at,prerelease,author_login
3.0.11,2020-11-03T23:37:27Z,False,github-actions[bot]
3.0.10,2020-09-01T20:08:14Z,False,github-actions[bot]
3.0.9,2020-08-04T12:04:54Z,False,browniebroke
3.0.8-01,2020-08-04T12:04:17Z,False,github-actions[bot]
3.0.8,2020-07-05T15:54:00Z,False,github-actions[bot]
3.0.7,2020-06-21T13:22:00Z,False,github-actions[bot]
3.0.5-01,2020-04-18T13:52:24Z,False,browniebroke
3.0.5,2020-04-18T13:51:45Z,False,browniebroke
3.0.4,2020-04-18T13:50:37Z,False,browniebroke
2.2.7,2019-11-04T12:36:03Z,False,browniebroke
2.0.13,2019-02-16T15:50:48Z,False,browniebroke
1.8.7,2015-12-13T17:41:59Z,False,pydanny
1.8.6,2015-11-26T02:05:18Z,False,luzfcb
1.8.5,2015-11-05T04:26:46Z,False,pydanny
1.7.7,2015-04-28T04:42:18Z,False,theskumar
1.6.6,2014-09-03T17:11:52Z,False,pydanny
0.1.0,2013-09-17T12:17:18Z,False,pydanny
