tag_name,published_at,prerelease,author_login
v9.0.0b1,2020-12-25T05:33:10Z,True,asi1024
v8.3.0,2020-12-25T05:33:27Z,False,asi1024
v9.0.0a2,2020-11-26T07:02:30Z,True,emcastillo
v8.2.0,2020-11-26T07:02:45Z,False,asi1024
v9.0.0a1,2020-10-29T07:21:09Z,True,kmaehashi
v8.1.0,2020-10-29T07:21:19Z,False,kmaehashi
v8.0.0,2020-10-01T06:50:13Z,False,kmaehashi
v7.8.0.post1,2020-09-11T07:56:05Z,False,kmaehashi
v8.0.0rc1,2020-08-27T07:57:39Z,True,kmaehashi
v7.8.0,2020-08-19T05:55:57Z,False,emcastillo
v8.0.0b5,2020-07-30T08:55:04Z,True,emcastillo
v7.7.0,2020-07-30T08:34:47Z,False,emcastillo
v8.0.0b4,2020-06-25T06:20:53Z,True,asi1024
v7.6.0,2020-06-25T06:08:57Z,False,emcastillo
v8.0.0b3,2020-05-29T06:02:00Z,True,kmaehashi
v7.5.0,2020-05-29T06:02:16Z,False,kmaehashi
v8.0.0b2,2020-04-23T07:49:25Z,True,emcastillo
v7.4.0,2020-04-23T07:46:11Z,False,asi1024
v8.0.0b1,2020-03-23T08:27:06Z,True,kmaehashi
v7.3.0,2020-03-23T07:30:14Z,False,asi1024
v8.0.0a1,2020-02-14T06:31:14Z,True,emcastillo
v7.2.0,2020-02-14T06:44:24Z,False,toslunar
v7.1.1,2020-01-22T08:15:11Z,False,kmaehashi
v7.1.0,2020-01-16T08:24:28Z,False,emcastillo
v6.7.0,2020-01-16T07:52:54Z,False,niboshi
v7.0.0,2019-12-05T05:35:46Z,False,asi1024
v6.6.0,2019-12-05T05:14:09Z,False,toslunar
v7.0.0rc1,2019-10-25T06:11:06Z,True,beam2d
v6.5.0,2019-10-25T06:37:32Z,False,asi1024
v7.0.0b4,2019-09-26T07:49:46Z,True,hvy
v6.4.0,2019-09-26T07:32:33Z,False,beam2d
v7.0.0b3,2019-08-22T08:27:48Z,True,asi1024
v6.3.0,2019-08-22T07:38:46Z,False,beam2d
v7.0.0b2,2019-07-18T08:11:44Z,True,hvy
v6.2.0,2019-07-18T07:38:03Z,False,niboshi
v7.0.0b1,2019-06-21T06:04:48Z,True,hvy
v6.1.0,2019-06-21T05:45:12Z,False,niboshi
v7.0.0a1,2019-05-16T08:26:07Z,True,kmaehashi
v6.0.0,2019-05-16T08:17:36Z,False,beam2d
v6.0.0rc1,2019-04-04T07:45:22Z,True,beam2d
v5.4.0,2019-04-04T07:56:20Z,False,niboshi
v6.0.0b3,2019-02-28T07:43:38Z,True,beam2d
v5.3.0,2019-02-28T07:36:48Z,False,hvy
v6.0.0b2,2019-01-24T08:24:55Z,True,hvy
v5.2.0,2019-01-24T08:09:57Z,False,mitmul
v6.0.0b1,2018-12-03T06:13:33Z,True,hvy
v5.1.0,2018-12-03T06:05:28Z,False,niboshi
v6.0.0a1,2018-10-25T08:31:16Z,True,kmaehashi
v5.0.0,2018-10-25T07:45:49Z,False,beam2d
v5.0.0rc1,2018-09-27T06:59:22Z,True,beam2d
v4.5.0,2018-09-27T06:18:58Z,False,mitmul
v4.4.1,2018-09-04T08:30:06Z,False,kmaehashi
v5.0.0b4,2018-08-23T07:03:16Z,True,beam2d
v4.4.0,2018-08-23T06:42:40Z,False,kmaehashi
v5.0.0b3,2018-07-19T08:19:12Z,True,niboshi
v4.3.0,2018-07-19T07:11:10Z,False,beam2d
v5.0.0b2,2018-06-21T06:53:02Z,True,niboshi
v4.2.0,2018-06-21T08:32:37Z,False,hvy
v5.0.0b1,2018-05-24T06:40:54Z,True,beam2d
v4.1.0,2018-05-24T07:26:46Z,False,niboshi
v5.0.0a1,2018-04-17T07:15:29Z,True,niboshi
v4.0.0,2018-04-17T07:57:27Z,False,kmaehashi
v4.0.0rc1,2018-03-20T07:57:07Z,True,hvy
v2.5.0,2018-03-20T07:16:52Z,False,niboshi
v4.0.0b4,2018-02-20T08:02:40Z,True,hvy
v2.4.0,2018-02-20T07:04:36Z,False,mitmul
v4.0.0b3,2018-01-23T05:14:20Z,True,kmaehashi
v2.3.0,2018-01-23T04:30:12Z,False,bkvogel
v4.0.0b2,2017-12-12T05:12:42Z,True,delta2323
v2.2.0,2017-12-12T04:48:08Z,False,beam2d
v2.1.0.1,2017-12-04T10:56:19Z,False,beam2d
v4.0.0b1,2017-11-17T05:13:22Z,True,kmaehashi
v2.1.0,2017-11-17T05:37:27Z,False,hvy
v3.0.0a1,2017-10-17T06:30:35Z,True,gwtnb
v2.0.0,2017-10-17T06:57:13Z,False,bkvogel
v2.0.0rc1,2017-09-12T06:14:14Z,True,bkvogel
v1.0.3,2017-09-12T07:00:30Z,False,mitmul
v2.0.0b1,2017-08-01T06:53:35Z,True,niboshi
v1.0.2,2017-08-01T06:13:08Z,False,bkvogel
v2.0.0a1,2017-07-04T06:37:21Z,True,unnonouno
v1.0.1,2017-07-04T08:11:28Z,False,delta2323
v1.0.0,2017-06-01T07:04:15Z,False,bkvogel
v1.0.0b1,2017-04-07T04:28:56Z,True,beam2d
v1.0.0a1,2017-02-21T08:01:47Z,True,beam2d
