tag_name,published_at,prerelease,author_login
v1.2.0-beta,2020-12-15T20:49:18Z,True,nmanovic
v1.2.0-alpha,2020-11-09T12:55:44Z,True,nmanovic
v1.1.0,2020-08-31T15:59:35Z,False,nmanovic
v1.1.0-beta,2020-08-03T13:42:29Z,True,nmanovic
v1.1.0-alpha,2020-06-30T21:28:32Z,True,nmanovic
v1.0.0,2020-05-29T15:27:02Z,False,nmanovic
v1.0.0-beta.2,2020-04-30T19:12:51Z,True,nmanovic
v1.0.0-beta.1,2020-04-15T18:04:12Z,True,nmanovic
v1.0.0-alpha,2020-03-31T19:11:55Z,True,nmanovic
v0.6.1,2020-03-21T08:21:44Z,False,nmanovic
v0.6.0,2020-03-15T12:59:49Z,False,nmanovic
v0.5.2,2019-12-16T15:40:48Z,False,nmanovic
v0.5.1,2019-10-17T10:07:40Z,False,nmanovic
v0.5.0,2019-09-12T10:07:57Z,False,nmanovic
v0.4.1,2019-05-14T13:44:27Z,False,bsekachev
v0.4.0,2019-05-04T14:01:51Z,False,nmanovic
v0.3.0,2018-12-29T07:16:12Z,False,nmanovic
