tag_name,published_at,prerelease,author_login
0.9.22.post0,2020-12-11T04:26:56Z,False,catherinewu
0.9.22,2020-12-11T02:27:57Z,False,catherinewu
0.9.22.pre1,2020-12-11T02:12:06Z,True,catherinewu
0.9.22.pre0,2020-12-11T02:01:10Z,True,catherinewu
0.9.21,2020-12-03T23:23:27Z,False,chenbobby
0.9.21.pre0,2020-12-03T22:30:11Z,True,chenbobby
0.9.20,2020-11-19T23:17:39Z,False,dpeng817
0.9.20.pre0,2020-11-19T22:35:26Z,True,dpeng817
0.9.19,2020-11-13T00:51:30Z,False,rexledesma
0.9.19.pre0,2020-11-13T00:54:29Z,True,rexledesma
0.9.18,2020-11-05T22:32:49Z,False,rexledesma
0.9.18.pre0,2020-11-05T22:33:21Z,True,rexledesma
0.9.17,2020-10-29T22:20:28Z,False,johannkm
0.9.16,2020-10-22T23:58:58Z,False,johannkm
0.9.15,2020-10-15T22:33:21Z,False,hellendag
0.9.14,2020-10-08T20:59:03Z,False,alangenfeld
0.9.12,2020-10-01T20:20:07Z,False,gibsondan
0.9.11,2020-09-25T00:06:00Z,False,rexledesma
0.9.9,2020-09-17T21:41:13Z,False,chenbobby
0.9.8,2020-09-16T00:31:57Z,False,yuhan
0.9.7,2020-09-11T23:45:11Z,False,catherinewu
0.9.6,2020-09-10T23:48:42Z,False,catherinewu
0.9.5,2020-09-03T23:59:41Z,False,prha
0.9.4,2020-08-27T23:57:53Z,False,helloworld
0.9.3,2020-08-21T14:50:06Z,False,dpeng817
0.9.2,2020-08-13T23:13:55Z,False,ajnadel
0.9.1,2020-08-07T23:31:46Z,False,johannkm
0.9.0,2020-08-07T17:37:18Z,False,helloworld
0.8.10,2020-07-31T00:08:03Z,False,helloworld
0.8.9,2020-07-31T00:08:33Z,False,helloworld
0.8.8,2020-07-16T20:09:42Z,False,gibsondan
0.8.7,2020-07-09T22:24:41Z,False,alangenfeld
0.8.6,2020-07-02T22:41:53Z,False,johannkm
0.8.5,2020-06-26T01:19:48Z,False,helloworld
0.8.4,2020-06-19T23:41:50Z,False,ajnadel
0.8.3,2020-06-17T17:55:37Z,False,natekupp
0.8.2,2020-06-17T16:02:52Z,False,helloworld
0.8.1,2020-06-13T01:00:37Z,False,helloworld
0.8.0,2020-06-11T23:35:50Z,False,mgasner
0.7.16,2020-06-05T20:20:47Z,False,prha
0.7.15,2020-05-29T02:59:33Z,False,natekupp
0.7.14,2020-05-22T01:19:32Z,False,catherinewu
0.7.13,2020-05-14T23:13:58Z,False,alangenfeld
0.7.12,2020-05-11T23:17:50Z,False,helloworld
0.7.11,2020-05-09T21:38:56Z,False,prha
0.7.10,2020-05-09T21:38:35Z,False,prha
0.7.9,2020-05-09T21:38:00Z,False,prha
0.7.8,2020-05-09T21:37:41Z,False,prha
0.7.7,2020-05-09T21:37:05Z,False,prha
0.7.6,2020-04-03T19:00:34Z,False,alangenfeld
0.7.5,2020-04-03T19:01:14Z,False,alangenfeld
0.7.4,2020-04-03T19:01:41Z,False,alangenfeld
0.7.3,2020-04-03T19:02:11Z,False,alangenfeld
0.7.2,2020-04-03T19:02:40Z,False,alangenfeld
0.7.1,2020-04-03T19:02:58Z,False,alangenfeld
0.7.0,2020-02-13T00:27:11Z,False,asingh16
0.4.0,2019-04-18T18:51:32Z,False,natekupp
0.2.8.post3,2019-03-15T15:40:39Z,False,schrockn
v0.2.8.post0,2018-11-01T20:31:25Z,False,schrockn
v0.2.8,2018-11-01T17:14:28Z,False,schrockn
v.0.2.7,2018-10-31T23:01:47Z,False,schrockn
v0.2.6,2018-10-09T00:58:52Z,False,schrockn
v0.2.5,2018-10-05T03:16:01Z,False,schrockn
v.0.2.4,2018-10-01T14:42:05Z,False,schrockn
v0.2.3,2018-09-22T17:31:17Z,False,schrockn
v0.2.2,2018-09-20T21:57:08Z,False,schrockn
v0.2.0,2018-09-20T21:55:25Z,False,schrockn
v0.1.6,2018-08-17T16:38:11Z,False,schrockn
