tag_name,published_at,prerelease,author_login
v0.6.1,2020-12-03T17:31:29Z,False,nagarjunakanamarlapudi
v0.6.0,2020-10-29T18:00:27Z,False,nagarjunakanamarlapudi
v0.5.0,2020-10-07T19:13:16Z,False,nagarjunakanamarlapudi
v0.5.0-BETA,2020-08-27T22:42:19Z,True,jplaisted
v0.4.3,2020-08-20T16:34:55Z,False,jplaisted
v0.4.2,2020-07-30T21:30:47Z,False,jywadhwani
v0.4.1,2020-06-26T04:11:26Z,False,jywadhwani
v0.4.0,2020-05-28T15:40:15Z,False,jywadhwani
v0.3.1,2020-03-19T19:51:03Z,False,jywadhwani
v0.3.0,2020-02-12T20:23:57Z,False,keremsahin1
v0.2.0-alpha,2019-12-05T20:33:52Z,True,keremsahin1
v0.1.1-alpha,2019-09-27T18:54:00Z,True,keremsahin1
v0.1.0-alpha,2019-09-21T23:41:16Z,True,keremsahin1
