tag_name,published_at,prerelease,author_login
v0.19.0rc1,2020-12-30T14:44:57Z,True,jtcohen6
v0.19.0b1,2020-10-21T00:55:13Z,True,cmcarthur
v0.18.1,2020-10-13T21:51:53Z,False,cmcarthur
v0.18.1rc1,2020-10-01T17:01:39Z,True,cmcarthur
v0.18.1b3,2020-09-25T21:14:48Z,True,jtcohen6
v0.18.1b2,2020-09-22T14:35:48Z,True,beckjake
v0.18.1b1,2020-09-17T19:42:01Z,True,beckjake
v0.18.0,2020-09-03T16:58:08Z,False,beckjake
v0.18.0rc1,2020-08-19T20:34:02Z,True,beckjake
v0.18.0b2,2020-07-30T17:44:54Z,True,beckjake
v0.17.2,2020-07-29T19:29:03Z,False,beckjake
v0.17.2rc1,2020-07-28T20:39:54Z,True,beckjake
v0.17.2b1,2020-07-21T13:48:50Z,True,beckjake
v0.17.1,2020-07-20T15:41:00Z,False,beckjake
v0.17.1rc4,2020-07-08T16:30:36Z,True,beckjake
v0.17.1rc3,2020-07-01T13:34:59Z,True,beckjake
v0.17.1rc2,2020-06-25T21:20:16Z,True,beckjake
v0.17.1rc1,2020-06-19T21:27:51Z,True,beckjake
v0.17.0,2020-06-08T18:09:06Z,False,drewbanin
v0.16.1,2020-04-14T16:03:25Z,False,drewbanin
v0.16.0,2020-03-23T14:02:26Z,False,drewbanin
v0.15.2,2020-02-03T19:20:34Z,False,drewbanin
v0.15.1,2020-01-20T16:55:15Z,False,drewbanin
v0.15.0,2019-11-25T21:10:05Z,False,drewbanin
v0.14.4,2019-11-08T20:40:06Z,False,drewbanin
v0.14.3,2019-10-11T18:41:28Z,False,drewbanin
v0.14.2,2019-09-13T17:55:12Z,False,drewbanin
v0.14.1,2019-09-04T13:51:03Z,False,drewbanin
v0.14.0,2019-07-10T14:11:06Z,False,drewbanin
v0.13.1,2019-05-13T19:25:15Z,False,drewbanin
v0.13.0,2019-03-22T14:54:10Z,False,drewbanin
v0.12.2,2019-01-08T15:53:46Z,False,drewbanin
v0.12.1,2018-11-15T17:08:54Z,False,drewbanin
v0.12.0,2018-11-13T15:40:06Z,False,drewbanin
0.11.1,2018-09-19T00:01:47Z,False,cmcarthur
v0.11.0,2018-09-06T14:39:29Z,False,drewbanin
v0.10.2,2018-08-03T18:22:11Z,False,drewbanin
v0.10.1,2018-05-18T16:56:55Z,False,drewbanin
v0.10.0,2018-03-09T02:45:23Z,False,drewbanin
v0.9.1,2018-01-05T18:41:05Z,False,drewbanin
v0.9.0,2017-10-26T19:39:00Z,False,drewbanin
v0.9.0a2,2017-09-21T03:50:43Z,True,drewbanin
v0.9.0a1,2017-08-29T23:35:42Z,True,drewbanin
v0.8.3,2017-07-14T20:42:23Z,False,drewbanin
v0.8.2,2017-05-31T19:33:53Z,False,drewbanin
v0.8.1,2017-05-10T19:56:47Z,False,drewbanin
v0.8.0,2017-04-17T20:43:11Z,False,drewbanin
v0.7.1,2017-03-01T00:13:09Z,False,drewbanin
v0.7.0,2017-02-10T18:47:27Z,False,drewbanin
v0.6.2,2017-01-16T18:51:09Z,False,drewbanin
v0.6.1,2017-01-11T17:22:08Z,False,drewbanin
v0.6.0,2016-12-22T05:13:40Z,False,drewbanin
v0.5.4,2016-11-29T07:14:18Z,False,drewbanin
v0.5.3,2016-10-27T04:15:42Z,False,drewbanin
0.5.2,2016-10-25T01:56:15Z,False,drewbanin
v0.5.1,2016-10-21T17:11:32Z,False,drewbanin
v0.5.0,2016-09-28T01:17:18Z,False,drewbanin
v0.4.7,2016-09-20T16:17:21Z,False,drewbanin
0.4.1,2016-08-22T04:49:55Z,False,drewbanin
v0.4.0,2016-08-16T07:11:32Z,False,drewbanin
0.3.0,2016-08-04T04:26:33Z,False,drewbanin
v0.2.3.0,2016-07-15T17:12:56Z,False,drewbanin
