tag_name,published_at,prerelease,author_login
0.5.3,2020-11-30T07:39:12Z,False,BarclayII
0.5.2,2020-09-14T05:21:24Z,False,BarclayII
0.5.1,2020-08-30T15:40:38Z,False,BarclayII
0.5.0,2020-08-21T11:52:04Z,False,BarclayII
0.4.3.post2,2020-04-07T06:32:36Z,False,BarclayII
0.4.3,2020-04-02T03:43:38Z,False,jermainewang
0.4.2,2020-01-23T04:32:44Z,False,BarclayII
0.4.1,2019-11-05T03:15:33Z,False,BarclayII
v0.4.0,2019-10-07T09:45:21Z,False,BarclayII
v0.3.1,2019-08-28T05:46:18Z,False,BarclayII
v0.3,2019-06-13T09:46:50Z,False,BarclayII
v0.2,2019-03-08T23:01:02Z,False,jermainewang
v0.1.3,2018-12-11T22:30:34Z,False,jermainewang
v0.1.2,2018-12-07T07:50:59Z,False,jermainewang
