tag_name,published_at,prerelease,author_login
0.16.1,2020-10-08T12:14:39Z,False,lovelydinosaur
0.16.0,2020-10-06T14:30:11Z,False,lovelydinosaur
0.15.5,2020-10-01T12:57:55Z,False,lovelydinosaur
0.15.4,2020-09-25T11:35:18Z,False,lovelydinosaur
0.15.3,2020-09-24T09:39:46Z,False,florimondmanca
0.15.2,2020-09-23T10:28:47Z,False,lovelydinosaur
0.15.1,2020-09-23T09:22:49Z,False,euri10
0.15.0,2020-09-22T10:50:35Z,False,lovelydinosaur
0.14.3,2020-09-02T11:17:55Z,False,lovelydinosaur
0.14.2,2020-08-24T10:04:02Z,False,lovelydinosaur
0.14.1,2020-08-11T11:04:33Z,False,lovelydinosaur
0.14.0,2020-08-07T14:51:06Z,False,lovelydinosaur
0.13.3,2020-05-29T10:29:09Z,False,lovelydinosaur
0.13.2,2020-05-27T14:59:12Z,False,lovelydinosaur
0.13.1,2020-05-22T09:34:08Z,False,lovelydinosaur
0.13.0,2020-05-22T08:42:45Z,False,lovelydinosaur
0.13.0.dev2,2020-05-12T09:21:06Z,True,lovelydinosaur
0.13.0.dev1,2020-05-06T14:56:22Z,True,yeraydiazdiaz
0.13.0.dev0,2020-04-30T16:10:42Z,True,lovelydinosaur
0.7.5,2019-10-10T14:22:06Z,False,sethmlarson
0.7.4,2019-10-04T00:36:17Z,False,sethmlarson
0.7.3,2019-10-04T00:33:12Z,False,sethmlarson
0.7.2,2019-08-29T14:45:37Z,False,sethmlarson
