tag_name,published_at,prerelease,author_login
v2.3.5,2020-12-11T14:44:41Z,False,adrianeboyd
v2.3.4,2020-11-26T00:36:53Z,False,adrianeboyd
v2.3.3,2020-11-24T17:42:05Z,False,adrianeboyd
v3.0.0rc1,2020-10-15T15:35:52Z,True,ines
v2.3.2,2020-07-13T16:09:26Z,False,adrianeboyd
v2.3.1,2020-07-07T17:08:05Z,False,adrianeboyd
v2.3.0,2020-06-16T14:25:22Z,False,ines
v2.2.4,2020-03-12T13:40:56Z,False,ines
v2.2.3,2019-11-21T18:21:03Z,False,ines
v2.2.2,2019-10-31T16:34:36Z,False,ines
v2.1.9,2019-10-28T16:22:20Z,False,ines
v2.2.1,2019-10-03T14:22:47Z,False,ines
v2.2.0,2019-10-02T14:47:34Z,False,ines
v2.1.8,2019-08-08T09:20:39Z,False,ines
v2.1.7,2019-08-01T17:43:04Z,False,ines
v2.1.6,2019-07-12T16:18:15Z,False,ines
v2.1.5,2019-07-12T12:31:09Z,False,ines
v2.1.4,2019-05-11T22:08:02Z,False,ines
v2.1.3,2019-03-23T17:07:26Z,False,ines
v2.1.2,2019-03-22T13:46:16Z,False,ines
v2.1.1,2019-03-20T12:13:46Z,False,ines
v2.1.0,2019-03-18T15:07:15Z,False,ines
v2.1.0a13,2019-03-12T14:49:22Z,True,ines
v2.1.0a12,2019-03-11T23:07:47Z,True,ines
v2.1.0a11,2019-03-11T14:05:15Z,True,ines
v2.1.0a10,2019-02-27T15:23:49Z,True,ines
v2.1.0a9,2019-02-25T21:23:04Z,True,ines
v2.1.0a8,2019-02-21T11:34:31Z,True,ines
v2.1.0a7,2019-02-17T12:24:19Z,True,ines
v2.1.0a6,2019-01-21T17:46:09Z,True,ines
v2.1.0a5,2019-01-05T13:18:47Z,True,ines
v2.1.0a4,2018-12-18T21:42:18Z,True,ines
v2.0.18,2018-12-01T03:00:22Z,False,ines
v2.1.0a3,2018-11-28T20:45:04Z,True,ines
v2.0.17,2018-11-26T12:31:26Z,False,ines
v2.0.16,2018-10-15T13:04:33Z,False,ines
v2.0.15,2018-10-15T12:01:33Z,False,ines
v2.0.13,2018-10-13T21:48:53Z,False,ines
v2.1.0a1,2018-08-16T16:25:39Z,True,ines
v2.0.12,2018-07-21T15:18:40Z,False,ines
v2.1.0a0,2018-07-21T14:14:18Z,True,ines
v2.0.11,2018-04-04T09:52:00Z,False,ines
v2.0.10,2018-03-24T18:03:47Z,False,ines
v1.10.1,2018-03-23T22:48:06Z,False,ines
v2.0.9,2018-02-22T17:32:59Z,False,ines
v2.0.8,2018-02-18T12:25:51Z,False,ines
v2.0.7,2018-02-02T02:58:04Z,False,ines
v2.0.6,2018-02-01T03:47:09Z,False,ines
v2.0.5,2017-12-07T10:01:35Z,False,ines
v2.0.4,2017-12-06T12:39:42Z,False,ines
v2.0.3,2017-11-15T15:50:58Z,False,ines
v2.0.2,2017-11-08T22:15:58Z,False,ines
v2.0.1,2017-11-08T02:29:13Z,False,ines
v2.0.0,2017-11-07T22:14:40Z,False,honnibal
v1.10.0,2017-11-07T11:41:45Z,False,ines
v1.9.0,2017-07-22T16:28:50Z,False,ines
v2.0.0-alpha,2017-06-05T19:05:12Z,True,honnibal
v1.8.2,2017-04-26T18:51:24Z,False,ines
v1.8.1,2017-04-23T20:00:09Z,False,ines
v1.8.0,2017-04-16T21:33:59Z,False,ines
v1.7.5,2017-04-07T17:02:06Z,False,ines
v1.7.3,2017-03-26T15:08:13Z,False,ines
v1.7.2,2017-03-20T12:37:49Z,False,ines
v1.7.1,2017-03-19T10:42:22Z,False,ines
v1.7.0,2017-03-18T19:24:19Z,False,honnibal
v1.6.0,2017-01-16T13:14:30Z,False,honnibal
v1.5.0,2016-12-27T21:20:03Z,False,ines
v1.4.0,2016-12-18T23:02:40Z,False,honnibal
v1.3.0,2016-12-03T10:56:08Z,False,honnibal
v1.2.0,2016-11-05T01:35:55Z,False,honnibal
v1.1.0,2016-10-23T16:54:12Z,False,honnibal
v1.0.0,2016-10-19T00:29:19Z,False,honnibal
