tag_name,published_at,prerelease,author_login
v0.10.0,2020-12-16T22:09:22Z,False,stephenroller
v0.9.4,2020-10-16T18:05:43Z,False,stephenroller
v0.9.3,2020-09-28T14:44:44Z,False,stephenroller
v0.9.2,2020-09-10T17:22:25Z,False,stephenroller
v0.9.1,2020-09-08T17:44:36Z,False,stephenroller
v0.9.0,2020-08-18T16:11:14Z,False,stephenroller
v0.8.0,2020-08-04T03:57:33Z,False,stephenroller
v0.1.20200716,2020-07-16T20:39:30Z,False,stephenroller
v0.1.20200416,2020-04-17T02:37:34Z,False,stephenroller
v0.1.20200409,2020-04-09T20:03:22Z,False,stephenroller
