tag_name,published_at,prerelease,author_login
v0.10.1,2020-11-21T20:52:27Z,False,myleott
v0.10.0,2020-11-12T14:22:05Z,False,myleott
v0.9.0,2019-12-04T14:31:56Z,False,myleott
v0.8.0,2019-08-14T12:16:38Z,False,myleott
v0.7.2,2019-07-19T13:41:44Z,False,myleott
v0.7.1,2019-06-20T15:24:10Z,False,myleott
v0.7.0,2019-06-20T03:03:21Z,False,myleott
v0.6.2,2019-03-15T17:28:36Z,False,myleott
v0.6.1,2019-02-09T18:37:36Z,False,myleott
v0.6.0,2018-09-26T17:16:09Z,False,myleott
v0.5.0,2018-06-15T20:38:58Z,False,myleott
v0.4.0,2018-06-15T19:07:22Z,False,myleott
