tag_name,published_at,prerelease,author_login
0.3.2,2020-08-16T14:56:41Z,False,tiangolo
0.3.1,2020-07-19T11:14:15Z,False,tiangolo
0.3.0,2020-06-24T19:27:42Z,False,tiangolo
0.2.1,2020-04-26T13:49:41Z,False,tiangolo
0.2.0,2020-04-26T10:54:14Z,False,tiangolo
0.1.1,2020-03-29T13:48:51Z,False,tiangolo
0.1.0,2020-03-19T13:56:10Z,False,tiangolo
0.0.11,2020-03-16T12:28:44Z,False,tiangolo
0.0.10,2020-03-10T17:54:52Z,False,tiangolo
0.0.9,2020-03-08T18:15:29Z,False,tiangolo
0.0.8,2020-01-05T21:51:28Z,False,tiangolo
0.0.7,2019-12-31T21:32:52Z,False,tiangolo
0.0.6,2019-12-30T13:47:53Z,False,tiangolo
0.0.5,2019-12-28T14:33:50Z,False,tiangolo
0.0.4,2019-12-24T20:31:02Z,False,tiangolo
0.0.3,2019-12-24T17:07:07Z,False,tiangolo
0.0.2,2019-12-24T16:31:20Z,False,tiangolo
