tag_name,published_at,prerelease,author_login
v13.0.0-beta.8,2020-12-31T06:23:08Z,True,saurabh6790
v12.16.2,2020-12-31T05:50:39Z,False,saurabh6790
v12.16.1,2020-12-30T12:15:47Z,False,saurabh6790
v12.16.0,2020-12-30T07:42:39Z,False,saurabh6790
v13.0.0-beta.7,2020-12-26T09:26:03Z,True,saurabh6790
v12.15.0,2020-12-21T10:44:22Z,False,saurabh6790
v13.0.0-beta.6,2020-11-20T09:32:09Z,True,saurabh6790
v12.14.0,2020-11-19T10:09:14Z,False,saurabh6790
v13.0.0-beta.5,2020-11-06T13:39:17Z,True,saurabh6790
v12.13.0,2020-10-22T12:58:46Z,False,saurabh6790
v12.12.1,2020-10-01T07:24:33Z,False,saurabh6790
v12.12.0,2020-09-25T06:17:26Z,False,saurabh6790
v12.11.2,2020-08-27T04:34:42Z,False,saurabh6790
v12.11.1,2020-08-25T14:32:04Z,False,saurabh6790
v12.11.0,2020-08-24T04:42:05Z,False,saurabh6790
v13.0.0-beta.4,2020-08-06T08:00:32Z,True,saurabh6790
v12.10.1,2020-07-02T07:36:36Z,False,sahil28297
v13.0.0-beta.3,2020-06-30T13:16:17Z,True,sahil28297
v12.10.0,2020-06-18T14:36:35Z,False,sahil28297
v12.9.4,2020-06-03T09:41:04Z,False,sahil28297
v11.1.77,2020-06-01T10:09:54Z,False,sahil28297
v13.0.0-beta.2,2020-05-28T14:58:43Z,True,sahil28297
v12.9.3,2020-05-25T13:32:53Z,False,sahil28297
v12.9.2,2020-05-22T08:08:13Z,False,sahil28297
v12.9.1,2020-05-21T09:57:01Z,False,sahil28297
v12.9.0,2020-05-21T09:30:56Z,False,sahil28297
v11.1.76,2020-05-21T09:25:43Z,False,sahil28297
v12.8.0,2020-05-08T10:12:51Z,False,sahil28297
v13.0.0-beta.1,2020-05-01T15:35:46Z,True,sahil28297
v12.7.1,2020-04-23T08:25:31Z,False,sahil28297
v11.1.75,2020-04-22T06:50:27Z,False,sahil28297
v12.7.0,2020-04-17T05:58:32Z,False,sahil28297
v12.6.0,2020-03-19T07:14:25Z,False,sahil28297
v11.1.74,2020-03-17T06:43:00Z,False,sahil28297
v12.5.2,2020-02-28T09:36:18Z,False,sahil28297
v12.5.1,2020-02-26T12:50:30Z,False,sahil28297
v12.5.0,2020-02-20T12:57:12Z,False,sahil28297
v11.1.73,2020-02-20T12:33:23Z,False,sahil28297
v12.4.3,2020-02-03T13:30:43Z,False,nabinhait
v12.4.2,2020-01-21T07:37:33Z,False,nabinhait
v12.4.1,2020-01-20T12:32:44Z,False,sahil28297
v12.4.0,2020-01-16T09:00:48Z,False,sahil28297
v11.1.72,2020-01-14T08:49:47Z,False,sahil28297
v12.3.1,2019-12-20T11:42:05Z,False,sahil28297
v12.3.0,2019-12-20T10:25:26Z,False,sahil28297
v11.1.71,2019-12-18T08:30:13Z,False,sahil28297
v12.2.3,2019-12-11T03:40:31Z,False,nabinhait
v11.1.70,2019-12-09T12:36:18Z,False,nabinhait
v12.2.2,2019-12-02T07:39:41Z,False,sahil28297
v12.2.1,2019-11-28T14:33:28Z,False,nabinhait
v12.2.0,2019-11-25T09:41:32Z,False,nabinhait
v11.1.69,2019-11-20T07:59:21Z,False,saurabh6790
v11.1.68,2019-11-18T12:39:15Z,False,sahil28297
v12.1.8,2019-10-26T14:32:44Z,False,sahil28297
v12.1.7,2019-10-24T12:00:33Z,False,sahil28297
v11.1.67,2019-10-22T11:33:24Z,False,sahil28297
v11.1.66,2019-10-04T08:13:46Z,False,sahil28297
v12.1.6,2019-10-02T11:07:13Z,False,sahil28297
v11.1.65,2019-09-26T08:25:43Z,False,sahil28297
v12.1.5,2019-09-24T12:47:05Z,False,sahil28297
v11.1.64,2019-09-24T12:44:58Z,False,sahil28297
v12.1.4,2019-09-20T09:47:40Z,False,sahil28297
v11.1.63,2019-09-20T09:43:17Z,False,sahil28297
v12.1.3,2019-09-17T11:41:28Z,False,sahil28297
v11.1.62,2019-09-17T11:30:46Z,False,sahil28297
v12.1.2,2019-09-10T09:08:51Z,False,sahil28297
v11.1.61,2019-09-10T09:02:43Z,False,sahil28297
v12.1.1,2019-09-05T12:01:04Z,False,sahil28297
v11.1.60,2019-09-05T11:55:26Z,False,sahil28297
v12.1.0,2019-09-03T11:03:21Z,False,sahil28297
v11.1.59,2019-09-03T11:00:14Z,False,sahil28297
v11.1.58,2019-08-29T14:42:00Z,False,saurabh6790
v11.1.57,2019-08-29T09:38:59Z,False,saurabh6790
v12.0.8,2019-08-22T07:40:33Z,False,sahil28297
v12.0.7,2019-08-20T10:30:42Z,False,sahil28297
v11.1.56,2019-08-20T10:28:34Z,False,sahil28297
v11.1.55,2019-08-16T12:02:33Z,False,sahil28297
v12.0.6,2019-08-13T09:14:31Z,False,sahil28297
v11.1.54,2019-08-13T09:12:11Z,False,sahil28297
v12.0.5,2019-08-07T10:51:32Z,False,sahil28297
v11.1.53,2019-08-07T10:48:12Z,False,sahil28297
v12.0.4,2019-08-02T08:58:16Z,False,sahil28297
v11.1.52,2019-08-02T08:55:18Z,False,sahil28297
v12.0.3,2019-07-30T07:39:28Z,False,sahil28297
v11.1.51,2019-07-30T07:37:01Z,False,sahil28297
v12.0.2,2019-07-27T07:24:37Z,False,sahil28297
v12.0.1,2019-07-26T07:39:29Z,False,sahil28297
v11.1.50,2019-07-26T07:13:53Z,False,sahil28297
v11.1.49,2019-07-23T09:08:44Z,False,sahil28297
v12.0.0,2019-07-22T12:11:33Z,False,saurabh6790
v11.1.48,2019-07-19T11:41:43Z,False,sahil28297
v11.1.47,2019-07-16T09:54:13Z,False,sahil28297
v11.1.46,2019-07-11T09:46:11Z,False,sahil28297
v11.1.45,2019-07-09T09:50:26Z,False,sahil28297
v11.1.44,2019-07-04T10:21:11Z,False,sahil28297
v11.1.43,2019-07-02T13:16:41Z,False,sahil28297
v11.1.42,2019-06-27T07:21:25Z,False,saurabh6790
v11.1.41,2019-06-26T11:49:01Z,False,saurabh6790
v11.1.40,2019-06-26T10:24:09Z,False,sahil28297
v11.1.39,2019-06-18T09:12:13Z,False,sahil28297
