tag_name,published_at,prerelease,author_login
v13.0.0-beta.9,2020-12-26T09:23:16Z,True,saurabh6790
v12.13.0,2020-12-21T10:32:45Z,False,saurabh6790
v13.0.0-beta.8,2020-12-09T10:28:45Z,True,gavindsouza
v13.0.0-beta.7,2020-11-23T12:02:06Z,True,surajshetty3416
v12.12.0,2020-11-19T10:08:19Z,False,saurabh6790
v13.0.0-beta.6,2020-11-23T11:41:29Z,True,saurabh6790
v12.11.0,2020-10-22T12:55:42Z,False,saurabh6790
v12.10.2,2020-09-29T08:54:53Z,False,saurabh6790
v12.10.1,2020-09-25T13:40:42Z,False,saurabh6790
v12.10.0,2020-09-25T06:16:10Z,False,saurabh6790
v12.9.1,2020-08-27T16:47:51Z,False,saurabh6790
v12.9.0,2020-08-24T04:33:10Z,False,saurabh6790
v13.0.0-beta.5,2020-08-13T16:49:27Z,True,surajshetty3416
v13.0.0-beta.4,2020-08-06T07:57:07Z,True,saurabh6790
v12.8.4,2020-07-28T11:28:47Z,False,sahil28297
v12.8.3,2020-07-22T13:56:02Z,False,sahil28297
v12.8.2,2020-07-22T08:33:12Z,False,sahil28297
v12.8.1,2020-07-09T11:14:32Z,False,sahil28297
v12.8.0,2020-07-02T05:38:04Z,False,sahil28297
v13.0.0-beta.3,2020-06-30T13:14:58Z,True,sahil28297
v12.7.3,2020-06-23T10:45:54Z,False,sahil28297
v12.7.2,2020-06-22T12:04:37Z,False,sahil28297
v12.7.1,2020-06-19T12:10:03Z,False,sahil28297
v12.7.0,2020-06-18T14:34:53Z,False,sahil28297
v12.6.2,2020-06-05T16:30:03Z,False,sahil28297
v11.1.69,2020-06-01T10:07:36Z,False,sahil28297
v13.0.0-beta.2,2020-05-28T14:49:55Z,True,sahil28297
v12.6.1,2020-05-22T08:06:19Z,False,sahil28297
v12.6.0,2020-05-21T09:28:25Z,False,sahil28297
v11.1.68,2020-05-21T09:24:36Z,False,sahil28297
v12.5.2,2020-05-08T16:19:21Z,False,sahil28297
v13.0.0-beta.1,2020-05-01T15:20:41Z,True,sahil28297
v12.5.1,2020-04-23T08:23:48Z,False,sahil28297
v11.1.67,2020-04-22T06:48:56Z,False,sahil28297
v12.5.0,2020-04-17T05:56:11Z,False,sahil28297
v12.4.1,2020-03-19T08:00:11Z,False,sahil28297
v12.4.0,2020-03-19T07:12:30Z,False,sahil28297
