tag_name,published_at,prerelease,author_login
v9.0.0-beta,2020-06-14T15:05:15Z,True,arikfr
v8.0.0,2019-10-28T11:29:13Z,False,arikfr
v8.0.0-beta.2,2019-09-18T12:46:22Z,True,arikfr
v7.0.0,2019-03-25T08:45:06Z,False,arikfr
v6.0.0,2018-12-17T09:59:28Z,False,arikfr
v6.0.0-beta,2018-12-04T20:25:49Z,False,arikfr
v5.0.2,2018-10-18T11:59:59Z,False,arikfr
v5.0.1,2018-09-28T14:17:34Z,False,arikfr
v5.0.0,2018-09-21T14:16:48Z,False,arikfr
v4.0.2,2018-09-20T06:01:40Z,False,arikfr
v5.0.0-beta,2018-08-06T18:52:04Z,False,arikfr
v4.0.1,2018-05-02T14:23:44Z,False,arikfr
v4.0.0,2018-04-16T08:44:31Z,False,arikfr
v4.0.0-rc.1,2018-03-05T10:30:01Z,True,arikfr
v4.0.0-beta,2018-02-15T13:50:47Z,True,arikfr
v3.0.0,2017-12-31T10:27:40Z,False,arikfr
v2.0.1,2017-10-22T12:12:51Z,False,arikfr
v2.0.0,2017-08-08T13:00:17Z,False,arikfr
v1.0.3,2017-04-18T20:40:17Z,False,arikfr
v1.0.2,2017-04-18T13:09:01Z,False,arikfr
v1.0.1,2017-04-02T12:54:54Z,False,arikfr
v1.0.0-rc.2,2017-02-26T19:47:46Z,False,arikfr
v1.0.0-rc.1,2017-01-31T19:32:42Z,True,arikfr
v0.12.0.b2449,2016-07-03T12:25:56Z,False,arikfr
v0.11.1.b2095,2016-08-02T11:01:10Z,False,arikfr
v0.11.0.b2016,2016-05-01T08:21:56Z,False,arikfr
v0.10.1.b1834,2016-05-22T07:09:24Z,False,arikfr
v0.10.0.b1774,2016-03-06T10:16:35Z,False,arikfr
v0.9.2.b1536,2016-01-20T08:33:01Z,False,arikfr
v0.9.1.b1377,2016-01-18T08:25:30Z,False,arikfr
v0.9.0.b1363,2015-12-09T08:20:32Z,False,arikfr
v0.8.3.b1192,2015-12-02T09:08:03Z,False,arikfr
v0.8.2.b1181,2015-10-20T12:54:33Z,True,arikfr
v0.8.1.b1110,2015-10-18T20:49:19Z,False,arikfr
v0.8.1-rc,2015-10-19T08:41:50Z,True,arikfr
v0.8.0.b1058,2015-09-06T07:28:50Z,False,arikfr
v0.7.1.b1015,2015-07-27T20:42:14Z,True,arikfr
v0.7.1-rc,2015-08-09T08:08:33Z,True,arikfr
0.7.0,2015-07-26T08:39:09Z,False,arikfr
v0.6.4-rc,2015-07-13T15:38:38Z,True,arikfr
v0.6.3.b906,2015-07-05T19:42:38Z,False,arikfr
v0.6.3-rc,2015-07-13T08:59:50Z,False,arikfr
v0.6.2.b887,2015-07-04T07:44:31Z,False,arikfr
v0.6.0.b812,2015-04-06T09:42:15Z,False,arikfr
v0.6.0+b767,2015-04-02T14:12:35Z,True,arikfr
v0.6.0+b762,2015-04-02T04:44:37Z,True,arikfr
v0.6.0+b760,2015-04-01T17:25:55Z,True,arikfr
v0.6.0+b759,2015-04-01T14:30:38Z,True,arikfr
v0.6.0+b748,2015-03-22T15:34:54Z,True,arikfr
v0.6.0+b746,2015-03-22T12:55:45Z,True,arikfr
v0.6.0+b737,2015-03-19T06:59:32Z,True,arikfr
v0.6.0+b735,2015-03-19T06:45:53Z,True,arikfr
v0.6.0+b733,2015-03-19T06:38:54Z,True,arikfr
v0.6.0+b731,2015-03-18T11:45:30Z,True,arikfr
v0.6.0+b729,2015-03-16T13:10:46Z,True,arikfr
v0.6.0+b727,2015-03-16T07:06:45Z,True,arikfr
v0.6.0+b723,2015-03-16T03:40:06Z,True,arikfr
v0.6.0+b722,2015-03-15T16:58:41Z,True,arikfr
v0.6.0+b720,2015-03-12T10:03:03Z,True,arikfr
v0.6.0+b718,2015-03-12T09:49:51Z,True,arikfr
v0.6.0+b716,2015-03-11T09:32:57Z,True,arikfr
v0.6.0+b714,2015-03-10T16:31:43Z,True,arikfr
v0.6.0+b711,2015-03-09T15:00:41Z,True,arikfr
v0.6.0+b710,2015-03-09T08:19:12Z,True,arikfr
v0.5.0+b696,2015-02-23T09:13:00Z,False,arikfr
v0.5.0+b690,2015-02-21T13:23:47Z,True,arikfr
v0.5.0+b689,2015-02-21T12:51:19Z,True,arikfr
v0.5.0+b685,2015-02-08T16:22:10Z,True,arikfr
v0.5.0+b683,2015-02-08T16:08:02Z,True,arikfr
v0.5.0+b681,2015-02-02T16:05:43Z,True,arikfr
v0.5.0+b680,2015-02-02T08:54:36Z,True,arikfr
v0.5.0+b679,2015-02-01T11:25:12Z,True,arikfr
v0.5.0+b678,2015-02-01T10:00:07Z,True,arikfr
v0.5.0+b676,2015-01-29T18:49:17Z,True,arikfr
v0.5.0+b674,2015-01-29T13:38:03Z,True,arikfr
v0.5.0+b670,2015-01-27T20:52:04Z,True,arikfr
v0.5.0+b666,2015-01-27T16:42:04Z,True,arikfr
v0.5.0+b664,2015-01-27T16:25:11Z,True,arikfr
v0.5.0+b661,2015-01-27T11:02:31Z,True,arikfr
v0.5.0+b656,2015-01-26T05:34:20Z,True,arikfr
v0.5.0+b655,2015-01-25T15:47:18Z,True,arikfr
v0.4.0+b641,2015-01-22T10:04:21Z,True,arikfr
v0.4.0+b640,2015-01-20T14:41:52Z,True,arikfr
v0.4.0+b636,2015-01-19T10:17:36Z,True,arikfr
v0.4.0+b634,2015-01-19T08:54:57Z,True,arikfr
v0.4.0+b632,2015-01-19T07:16:52Z,True,arikfr
v0.4.0+b630,2015-01-18T08:13:45Z,True,arikfr
v0.4.0+b629,2015-01-18T07:26:34Z,True,arikfr
v0.4.0+b628,2015-01-18T07:24:11Z,True,arikfr
v0.4.0+b627,2015-01-14T10:38:14Z,False,arikfr
v0.4.0+b623,2015-01-13T20:37:50Z,True,arikfr
v0.4.0+b622,2015-01-12T16:20:03Z,True,arikfr
v0.4.0+b620,2014-12-30T05:54:32Z,True,arikfr
v0.4.0+b618,2014-12-25T14:00:38Z,True,arikfr
v0.3.2+b134,2014-02-25T06:40:12Z,False,arikfr
