tag_name,published_at,prerelease,author_login
version/0.14.2-stable,2020-12-31T11:07:25Z,False,github-actions[bot]
version/0.14.1-stable,2020-12-29T20:32:39Z,False,github-actions[bot]
version/0.14.0-stable,2020-12-28T16:52:28Z,False,github-actions[bot]
version/0.14.0-rc2,2020-12-28T15:12:33Z,True,github-actions[bot]
version/0.14.0-rc1,2020-12-27T21:47:52Z,True,github-actions[bot]
version/0.13.5-stable,2020-12-25T23:58:41Z,False,github-actions[bot]
version/0.13.4-stable,2020-12-24T14:43:51Z,False,github-actions[bot]
version/0.13.3-stable,2020-12-19T16:01:54Z,False,github-actions[bot]
version/0.13.2-stable,2020-12-17T19:29:25Z,False,github-actions[bot]
version/0.13.1-stable,2020-12-16T10:42:50Z,False,github-actions[bot]
version/0.13.0-stable,2020-12-14T10:30:39Z,False,github-actions[bot]
version/0.13.0-rc4,2020-12-13T22:48:22Z,True,github-actions[bot]
version/0.13.0-rc3,2020-12-13T11:54:50Z,True,github-actions[bot]
version/0.13.0-rc2,2020-12-12T20:57:04Z,True,github-actions[bot]
version/0.13.0-rc1,2020-12-12T20:07:44Z,True,github-actions[bot]
version/0.12.11-stable,2020-11-15T23:29:27Z,False,github-actions[bot]
version/0.12.10-stable,2020-11-11T14:02:07Z,False,github-actions[bot]
version/0.12.9-stable,2020-11-10T19:59:36Z,False,github-actions[bot]
version/0.12.8-stable,2020-10-29T21:58:03Z,False,github-actions[bot]
version/0.12.7-stable,2020-10-27T10:45:01Z,False,github-actions[bot]
version/0.12.6-stable,2020-10-23T17:12:21Z,False,github-actions[bot]
version/0.12.5-stable,2020-10-22T12:28:11Z,False,github-actions[bot]
version/0.12.4-stable,2020-10-20T20:39:57Z,False,github-actions[bot]
version/0.12.3-stable,2020-10-20T08:34:46Z,False,github-actions[bot]
version/0.12.2-stable,2020-10-19T17:49:33Z,False,github-actions[bot]
version/0.12.1-stable,2020-10-19T13:39:23Z,False,github-actions[bot]
version/0.12.0-stable,2020-10-19T10:22:06Z,False,github-actions[bot]
version/0.11.0-stable,2020-10-11T18:02:10Z,False,github-actions[bot]
version/0.10.9-stable,2020-10-01T08:39:16Z,False,github-actions[bot]
version/0.10.8-stable,2020-09-30T13:09:11Z,False,github-actions[bot]
version/0.10.7-stable,2020-09-26T17:30:22Z,False,github-actions[bot]
version/0.10.6-stable,2020-09-21T20:12:53Z,False,github-actions[bot]
version/0.10.5-stable,2020-09-20T12:04:47Z,False,github-actions[bot]
version/0.10.4-stable,2020-09-19T17:45:41Z,False,github-actions[bot]
version/0.10.3-stable,2020-09-17T08:18:16Z,False,github-actions[bot]
version/0.10.2-stable,2020-09-15T10:11:10Z,False,BeryJu
version/0.10.1-stable,2020-09-14T21:17:53Z,False,BeryJu
version/0.10.0-stable,2020-09-13T21:07:17Z,False,github-actions[bot]
version/0.10.0-rc6,2020-09-10T12:43:59Z,False,BeryJu
version/0.9.0-stable,2020-08-01T20:32:34Z,False,github-actions[bot]
version/0.9.0-rc2,2020-07-26T21:38:16Z,False,github-actions[bot]
version/0.9.0-rc1,2020-07-15T10:04:08Z,False,github-actions[bot]
version/0.9.0-pre7,2020-07-07T20:39:12Z,True,github-actions[bot]
version/0.9.0-pre6,2020-07-07T17:23:31Z,True,github-actions[bot]
version/0.9.0-pre5,2020-07-06T10:55:53Z,True,github-actions[bot]
version/0.9.0-pre4,2020-07-01T07:53:53Z,True,github-actions[bot]
version/0.9.0-pre3,2020-06-25T18:43:12Z,True,github-actions[bot]
version/0.9.0-pre2,2020-06-15T17:11:42Z,True,github-actions[bot]
version/0.9.0-pre1,2020-06-08T14:08:48Z,True,github-actions[bot]
version/0.8.15-beta,2020-04-10T20:00:00Z,False,github-actions[bot]
version/0.8.14-beta,2020-04-10T19:27:19Z,False,github-actions[bot]
version/0.8.12-beta,2020-02-28T10:56:49Z,False,github-actions[bot]
version/0.8.11-beta,2020-02-25T10:41:35Z,False,github-actions[bot]
version/0.8.9-beta,2020-02-24T12:26:12Z,False,github-actions[bot]
version/0.8.10-beta,2020-02-24T14:33:36Z,False,github-actions[bot]
version/0.8.8-beta,2020-02-23T13:48:29Z,False,github-actions[bot]
version/0.8.7-beta,2020-02-21T21:21:33Z,False,github-actions[bot]
version/0.8.6-beta,2020-02-21T20:39:00Z,False,github-actions[bot]
version/0.8.5-beta,2020-02-20T20:41:48Z,False,github-actions[bot]
version/0.8.4-beta,2020-02-20T15:22:43Z,False,github-actions[bot]
version/0.8.3-beta,2020-02-20T14:18:17Z,False,github-actions[bot]
version/0.8.2-beta,2020-02-20T13:00:27Z,False,github-actions[bot]
version/0.8.1-beta,2020-02-19T10:33:48Z,False,github-actions[bot]
version/0.8.0-beta,2020-02-19T09:32:37Z,False,github-actions[bot]
version/0.7.17-beta,2020-02-18T15:32:11Z,False,github-actions[bot]
version/0.7.16-beta,2020-02-17T20:05:59Z,False,github-actions[bot]
version/0.7.15-beta,2020-02-17T19:48:59Z,False,github-actions[bot]
version/0.7.14-beta,2020-02-17T14:45:16Z,False,github-actions[bot]
version/0.7.13-beta,2020-02-14T14:56:01Z,False,github-actions[bot]
version/0.7.9-beta,2020-01-02T13:12:55Z,False,github-actions[bot]
version/0.7.7-beta,2020-01-02T10:34:10Z,False,BeryJu
version/0.7.12-beta,2020-01-02T19:25:44Z,False,github-actions[bot]
version/0.7.11-beta,2020-01-02T15:45:31Z,False,github-actions[bot]
version/0.7.10-beta,2020-01-02T13:57:56Z,False,github-actions[bot]
