tag_name,published_at,prerelease,author_login
v1.18.0,2020-12-09T14:05:00Z,False,cuu508
v1.17.0,2020-10-14T09:41:31Z,False,cuu508
v1.16.0,2020-08-04T16:25:59Z,False,cuu508
v1.15.0,2020-06-04T12:09:01Z,False,cuu508
v1.14.0,2020-03-23T10:36:01Z,False,cuu508
v1.13.0,2020-02-13T08:36:38Z,False,cuu508
v1.12.0,2020-01-02T10:40:38Z,False,cuu508
v1.11.0,2019-11-22T10:05:16Z,False,cuu508
v1.10.0,2019-10-21T12:07:57Z,False,cuu508
v1.9.0,2019-09-03T06:29:18Z,False,cuu508
v1.8.0,2019-07-08T10:40:33Z,False,cuu508
v1.7.0,2019-05-02T12:42:34Z,False,cuu508
v1.6.0,2019-04-01T07:25:06Z,False,cuu508
v1.5.0,2019-02-04T12:02:14Z,False,cuu508
v1.4.0,2018-12-25T15:53:02Z,False,cuu508
v1.3.0,2018-11-21T18:22:12Z,False,cuu508
v1.2.0,2018-10-20T16:48:35Z,False,cuu508
v1.1.0,2018-08-20T17:22:34Z,False,cuu508
v1.0.4,2017-05-01T20:20:28Z,False,cuu508
v1.0.3,2017-04-28T07:06:49Z,False,cuu508
v1.0.2,2017-04-24T19:38:30Z,False,cuu508
v1.0.1,2017-03-28T19:07:23Z,False,cuu508
v1.0,2017-03-27T18:56:20Z,False,cuu508
