tag_name,published_at,prerelease,author_login
2021.1.0b0,2020-12-30T11:44:19Z,True,frenck
2020.12.2,2020-12-30T09:46:59Z,False,frenck
2020.12.1,2020-12-16T21:32:30Z,False,balloob
2020.12.0,2020-12-13T21:23:15Z,False,frenck
1.0.0b6,2020-12-12T20:36:24Z,True,balloob
1.0.0b5,2020-12-10T20:35:56Z,True,frenck
1.0.0b4,2020-12-10T09:12:50Z,True,balloob
1.0.0b3,2020-12-09T19:19:08Z,True,frenck
1.0.0b2,2020-12-07T09:12:23Z,True,balloob
1.0.0b1,2020-12-05T12:45:16Z,True,frenck
0.118.5,2020-12-05T12:12:00Z,False,frenck
1.0.0b0,2020-12-02T21:31:11Z,True,frenck
0.118.4,2020-11-26T16:42:53Z,False,balloob
0.118.3,2020-11-23T14:38:00Z,False,balloob
0.118.2,2020-11-20T20:42:16Z,False,balloob
0.118.1,2020-11-19T19:58:47Z,False,balloob
0.118.0,2020-11-18T18:44:45Z,False,frenck
0.118.0b3,2020-11-16T21:59:28Z,True,balloob
0.118.0b2,2020-11-14T21:07:36Z,True,balloob
0.118.0b1,2020-11-13T09:42:43Z,True,balloob
0.118.0b0,2020-11-11T19:43:26Z,True,frenck
0.117.6,2020-11-11T17:47:53Z,False,frenck
0.117.5,2020-11-05T15:33:48Z,False,balloob
0.117.4,2020-11-04T16:21:17Z,False,balloob
0.117.3,2020-11-04T11:22:38Z,False,balloob
0.117.2,2020-11-01T20:29:36Z,False,balloob
0.117.1,2020-10-30T09:12:15Z,False,balloob
0.117.0,2020-10-28T19:05:32Z,False,frenck
0.117.0b6,2020-10-27T22:26:21Z,True,balloob
0.117.0b5,2020-10-26T19:30:38Z,True,balloob
0.117.0b4,2020-10-25T22:55:17Z,True,balloob
0.117.0b3,2020-10-23T15:45:34Z,True,balloob
0.117.0b2,2020-10-22T23:34:00Z,True,balloob
0.117.0b1,2020-10-21T22:24:48Z,True,bramkragten
0.117.0b0,2020-10-21T19:23:41Z,True,frenck
0.116.4,2020-10-15T21:42:21Z,False,balloob
0.116.3,2020-10-15T11:54:47Z,False,pvizeli
0.116.2,2020-10-09T14:49:06Z,False,balloob
0.116.1,2020-10-08T17:22:11Z,False,balloob
0.116.0,2020-10-07T15:59:01Z,False,frenck
0.116.0b6,2020-10-06T20:46:51Z,True,balloob
0.116.0b5,2020-10-06T07:56:00Z,True,balloob
0.116.0b4,2020-10-05T16:06:18Z,True,bramkragten
0.116.0b3,2020-10-05T12:06:35Z,True,balloob
0.116.0b2,2020-10-03T19:43:41Z,True,balloob
0.116.0b1,2020-10-01T19:58:55Z,True,balloob
0.116.0b0,2020-09-30T20:25:44Z,True,frenck
0.115.6,2020-09-30T09:40:31Z,False,balloob
0.115.5,2020-09-29T11:35:45Z,False,frenck
0.115.4,2020-09-28T12:59:42Z,False,balloob
0.115.3,2020-09-25T08:31:19Z,False,frenck
0.115.2,2020-09-19T21:06:26Z,False,balloob
0.115.1,2020-09-18T14:51:43Z,False,balloob
0.115.0,2020-09-17T16:01:02Z,False,balloob
0.115.0b12,2020-09-16T20:50:58Z,True,balloob
0.115.0b11,2020-09-16T13:41:47Z,True,balloob
0.115.0b10,2020-09-15T14:22:17Z,True,bramkragten
0.115.0b9,2020-09-13T20:23:32Z,True,balloob
0.115.0b8,2020-09-13T09:42:46Z,True,bramkragten
0.115.0b7,2020-09-12T12:29:22Z,True,balloob
0.115.0b6,2020-09-11T12:20:37Z,True,balloob
0.115.0b5,2020-09-10T18:54:07Z,True,balloob
0.115.0b4,2020-09-09T20:35:41Z,True,balloob
0.115.0b3,2020-09-09T13:16:11Z,True,balloob
0.115.0b2,2020-09-08T21:18:50Z,True,balloob
0.115.0b1,2020-09-08T15:36:13Z,True,balloob
0.115.0b0,2020-09-07T21:21:59Z,True,frenck
0.114.4,2020-08-26T18:13:51Z,False,balloob
0.114.3,2020-08-20T08:58:06Z,False,balloob
0.114.2,2020-08-17T10:43:54Z,False,balloob
0.114.1,2020-08-15T05:36:12Z,False,balloob
0.114.0,2020-08-12T10:58:59Z,False,frenck
0.114.0b4,2020-08-10T12:49:34Z,True,balloob
0.114.0b3,2020-08-09T11:31:13Z,True,balloob
0.114.0b2,2020-08-07T08:45:48Z,True,balloob
0.114.0b1,2020-08-06T10:58:38Z,True,balloob
0.114.0b0,2020-08-05T18:51:42Z,True,frenck
0.113.3,2020-08-01T13:37:28Z,False,balloob
0.113.2,2020-07-28T18:25:20Z,False,frenck
0.113.1,2020-07-24T20:21:25Z,False,frenck
0.113.0,2020-07-22T15:54:12Z,False,frenck
0.113.0b3,2020-07-20T00:35:52Z,True,balloob
0.113.0b2,2020-07-18T23:38:48Z,True,balloob
0.113.0b1,2020-07-17T00:52:22Z,True,balloob
0.113.0b0,2020-07-15T20:00:39Z,True,frenck
0.112.5,2020-07-14T03:04:37Z,False,balloob
0.112.4,2020-07-09T05:50:42Z,False,balloob
0.112.3,2020-07-06T23:42:43Z,False,balloob
0.112.2,2020-07-04T05:15:03Z,False,balloob
0.112.1,2020-07-02T21:49:30Z,False,balloob
0.112.0,2020-07-01T15:09:49Z,False,frenck
0.112.0b4,2020-06-30T19:43:27Z,True,balloob
0.112.0b3,2020-06-30T00:26:11Z,True,balloob
0.112.0b2,2020-06-26T21:27:09Z,True,balloob
0.112.0b1,2020-06-26T00:45:38Z,True,balloob
0.112.0b0,2020-06-24T19:44:04Z,True,frenck
0.111.4,2020-06-17T23:23:58Z,False,balloob
0.111.3,2020-06-16T00:33:15Z,False,balloob
0.111.2,2020-06-13T13:04:03Z,False,bramkragten
0.111.1,2020-06-11T19:02:14Z,False,balloob
0.111.0,2020-06-10T14:14:24Z,False,frenck
0.111.0b5,2020-06-09T19:39:58Z,True,balloob
