tag_name,published_at,prerelease,author_login
v0.21.0,2020-11-23T23:57:42Z,False,tgaddair
v0.20.3,2020-10-01T14:56:31Z,False,tgaddair
v0.20.2,2020-09-26T02:58:05Z,False,tgaddair
v0.20.1,2020-09-25T19:38:01Z,False,tgaddair
v0.20.0,2020-09-04T00:34:45Z,False,tgaddair
v0.19.5,2020-06-24T16:44:08Z,False,tgaddair
v0.19.4,2020-05-28T22:28:14Z,False,tgaddair
v0.19.3,2020-05-22T16:54:52Z,False,tgaddair
v0.19.2,2020-05-13T21:18:46Z,False,tgaddair
v0.19.1,2020-05-13T20:56:39Z,False,tgaddair
v0.19.0,2020-01-14T16:39:30Z,False,tgaddair
