tag_name,published_at,prerelease,author_login
2.3.0,2020-10-25T20:52:58Z,False,jkbrzt
2.2.0,2020-06-18T20:27:25Z,False,jkbrzt
2.1.0,2020-04-18T11:08:29Z,False,jkbrzt
2.0.0,2020-01-12T10:11:10Z,False,jkbrzt
1.0.3,2019-08-26T10:53:44Z,False,jkbrzt
1.0.2,2018-11-14T15:39:15Z,False,jkbrzt
1.0.1,2018-11-14T11:00:52Z,False,jkbrzt
1.0.0,2018-11-02T15:31:59Z,False,jkbrzt
0.9.9,2018-07-22T15:53:19Z,False,jkbrzt
0.9.8,2016-12-08T04:28:24Z,False,jkbrzt
0.9.6,2016-08-13T21:04:38Z,False,jkbrzt
0.9.4,2016-07-01T17:06:31Z,False,jkbrzt
0.9.3,2016-01-01T22:29:50Z,False,jkbrzt
0.9.2,2015-02-24T06:55:41Z,False,jkbrzt
0.9.1,2015-02-07T16:08:43Z,False,jkbrzt
0.9.0,2015-01-31T12:37:56Z,False,jkbrzt
0.8.0,2014-01-25T18:49:00Z,False,jkbrzt
0.7.1,2015-02-01T14:01:20Z,False,jkbrzt
0.7.0,2015-02-01T14:00:53Z,False,jkbrzt
0.6.0,2015-02-01T14:01:47Z,False,jkbrzt
0.5.1,2015-02-01T14:02:14Z,False,jkbrzt
0.5.0,2015-02-01T14:02:45Z,False,jkbrzt
0.4.1,2015-02-01T14:03:02Z,False,jkbrzt
0.4.0,2015-02-01T14:03:34Z,False,jkbrzt
0.3.1,2015-02-01T14:04:09Z,False,jkbrzt
0.3.0,2015-02-01T14:04:35Z,False,jkbrzt
0.2.7,2015-02-01T14:04:57Z,False,jkbrzt
0.2.6,2015-02-01T14:05:15Z,False,jkbrzt
0.2.5,2015-02-01T14:05:37Z,False,jkbrzt
0.2.4,2015-02-01T14:06:17Z,False,jkbrzt
0.2.3,2015-02-01T14:06:46Z,False,jkbrzt
0.2.2,2015-02-01T14:07:24Z,False,jkbrzt
0.2.1,2015-02-01T14:07:39Z,False,jkbrzt
0.2.0,2015-02-01T14:08:06Z,False,jkbrzt
0.1.6,2015-02-01T14:11:16Z,False,jkbrzt
