tag_name,published_at,prerelease,author_login
v0.1-vitjx,2020-10-26T23:59:21Z,False,rwightman
v0.2.1,2020-08-13T16:52:05Z,False,rwightman
v0.1-rexnet,2020-07-23T16:13:12Z,False,rwightman
v0.1-resnest,2020-06-30T04:23:42Z,False,rwightman
v0.1-regnet,2020-05-18T01:48:37Z,False,rwightman
v0.1-tresnet,2020-04-26T05:34:50Z,False,rwightman
v0.1-selecsls,2019-12-30T23:54:13Z,False,rwightman
v0.1-hrnet,2019-11-30T00:35:39Z,False,rwightman
v0.1-res2net,2019-09-04T21:43:00Z,False,rwightman
v0.1.1,2019-06-21T21:11:20Z,False,rwightman
v0.1-cadene,2019-06-21T19:44:05Z,False,rwightman
v0.1-weights,2019-05-31T00:11:39Z,False,rwightman
