tag_name,published_at,prerelease,author_login
v0.4.0,2020-12-22T13:42:13Z,False,nreimers
v0.3.9,2020-11-18T08:25:11Z,False,nreimers
v0.3.8,2020-10-19T14:23:08Z,False,nreimers
v0.3.7,2020-09-29T20:17:02Z,False,nreimers
v0.3.6,2020-09-11T08:06:16Z,False,nreimers
v0.3.5,2020-09-01T13:09:07Z,False,nreimers
v0.3.4,2020-08-24T16:24:24Z,False,nreimers
v0.3.3,2020-08-06T08:16:50Z,False,nreimers
v0.3.2,2020-07-23T15:03:59Z,False,nreimers
v0.3.1,2020-07-22T13:54:26Z,False,nreimers
v0.3.0,2020-07-09T15:11:23Z,False,nreimers
v0.2.6,2020-04-16T14:12:34Z,False,nreimers
v0.2.5,2020-01-10T09:30:10Z,False,nreimers
v0.2.4,2019-12-06T14:12:01Z,False,nreimers
v0.2.3,2019-08-20T17:21:51Z,False,nreimers
v0.2.2,2019-08-19T14:38:06Z,False,nreimers
v0.2.1,2019-08-16T21:19:12Z,False,nreimers
v0.2.0,2019-08-16T08:14:24Z,False,nreimers
v0.1.0,2019-07-25T08:02:27Z,False,nreimers
