tag_name,published_at,prerelease,author_login
v4.1.1,2020-12-17T17:09:51Z,False,LysandreJik
v4.0.1,2020-12-09T17:07:39Z,False,LysandreJik
v4.0.0,2020-11-30T17:01:56Z,False,LysandreJik
v4.0.0-rc-1,2020-11-19T17:12:01Z,True,LysandreJik
v3.5.1,2020-11-13T15:28:08Z,False,sgugger
v3.5.0,2020-11-10T13:57:07Z,False,LysandreJik
v3.4.0,2020-10-20T14:30:39Z,False,LysandreJik
v3.3.1,2020-09-29T18:30:01Z,False,sgugger
v3.3.0,2020-09-28T14:32:36Z,False,LysandreJik
v3.2.0,2020-09-22T15:58:15Z,False,LysandreJik
v3.1.0,2020-09-01T12:36:22Z,False,LysandreJik
v3.0.2,2020-07-06T22:54:07Z,False,LysandreJik
v3.0.1,2020-07-03T15:37:17Z,False,thomwolf
v3.0.0,2020-06-29T15:11:47Z,False,LysandreJik
v2.11.0,2020-06-02T14:26:04Z,False,LysandreJik
v2.10.0,2020-05-22T14:57:08Z,False,LysandreJik
v2.9.1,2020-05-14T13:15:29Z,False,LysandreJik
v2.9.0,2020-05-07T18:33:22Z,False,LysandreJik
v2.8.0,2020-04-06T14:15:38Z,False,LysandreJik
v2.7.0,2020-03-30T13:01:22Z,False,LysandreJik
v2.6.0,2020-03-24T18:13:04Z,False,LysandreJik
v2.5.1,2020-02-24T23:53:05Z,False,LysandreJik
v2.5.0,2020-02-19T16:54:06Z,False,LysandreJik
v2.4.1,2020-01-31T19:58:13Z,False,LysandreJik
v2.4.0,2020-01-31T14:55:51Z,False,LysandreJik
v2.3.0,2019-12-20T21:40:31Z,False,LysandreJik
v2.2.2,2019-12-20T14:53:32Z,False,LysandreJik
v2.2.1,2019-12-03T16:23:44Z,False,LysandreJik
v2.2.0,2019-11-26T19:26:21Z,False,LysandreJik
v2.1.1,2019-10-11T14:50:36Z,False,LysandreJik
v2.1.0,2019-10-11T14:47:03Z,False,LysandreJik
v2.0.0,2019-09-26T11:48:21Z,False,thomwolf
1.2.0,2019-09-04T12:18:38Z,False,LysandreJik
1.1.0,2019-08-15T15:31:42Z,False,LysandreJik
v1.0.0,2019-07-16T14:50:22Z,False,thomwolf
v0.6.2,2019-04-25T19:47:08Z,False,thomwolf
v0.6.1,2019-02-18T11:01:17Z,False,thomwolf
v0.6.0,2019-02-18T10:40:11Z,False,thomwolf
v0.5.1,2019-02-13T09:21:03Z,False,thomwolf
v0.5.0,2019-02-11T13:52:14Z,False,thomwolf
v0.4.0,2018-12-14T14:21:57Z,False,thomwolf
v0.3.0,2018-11-30T22:15:06Z,False,thomwolf
v0.2.0,2018-11-26T09:57:37Z,False,thomwolf
v0.1.2,2018-11-17T11:23:16Z,False,thomwolf
