tag_name,published_at,prerelease,author_login
v0.34.0,2020-12-17T13:13:46Z,False,dennisocana
v0.33.1,2020-11-24T02:11:49Z,False,dennisocana
v0.33.0,2020-11-11T03:12:39Z,False,dennisocana
v0.32.0,2020-10-06T02:29:11Z,False,dennisocana
v0.31.0,2020-09-09T14:36:57Z,False,dennisocana
v0.30.0,2020-08-11T03:30:39Z,False,dennisocana
v0.29.0,2020-07-15T01:13:29Z,False,dennisocana
v0.28.1,2020-06-26T18:31:10Z,False,yzhang1994
v0.28.0,2020-06-18T00:20:14Z,False,yzhang1994
v0.27.0,2020-05-18T22:29:30Z,False,yzhang1994
v0.26.1,2020-05-13T18:34:53Z,False,yzhang1994
v0.26.0,2020-04-24T22:03:35Z,False,yzhang1994
v0.25.0,2020-03-23T22:01:49Z,False,yzhang1994
v0.24.1,2020-03-02T19:08:34Z,False,yzhang1994
v0.24.0,2020-02-25T22:50:48Z,False,yzhang1994
v0.23.0,2020-02-03T18:47:13Z,False,yzhang1994
0.22.0,2020-01-13T19:55:15Z,False,yzhang1994
0.21.0,2019-12-30T21:23:57Z,False,yzhang1994
v0.20.0,2019-12-16T22:10:05Z,False,yzhang1994
v0.19.1,2019-11-26T22:30:13Z,False,yzhang1994
v0.19.0,2019-11-19T00:03:32Z,False,yzhang1994
v0.18.1,2019-11-08T00:50:34Z,False,carlolm
v0.18.0,2019-11-04T23:47:36Z,False,fengtality
v0.17.1,2019-10-23T00:17:39Z,False,yzhang1994
v0.17.0,2019-10-21T17:29:54Z,False,yzhang1994
v0.16.0,2019-10-07T18:03:03Z,False,yzhang1994
v0.15.0,2019-09-23T17:34:11Z,False,yzhang1994
v0.14.0,2019-09-09T17:50:26Z,False,carlolm
v0.13.0,2019-08-26T18:58:58Z,False,yzhang1994
v0.12.1,2019-08-13T23:23:20Z,False,carlolm
v0.12.0,2019-08-12T19:42:38Z,False,carlolm
v0.11.1,2019-07-30T23:36:12Z,False,carlolm
v0.11.0,2019-07-29T19:10:53Z,False,carlolm
v0.10.1,2019-07-16T19:21:08Z,False,carlolm
v0.10.0,2019-07-15T22:37:20Z,False,carlolm
v0.9.1,2019-07-01T23:46:03Z,False,carlolm
v0.9.0,2019-07-01T19:41:29Z,False,carlolm
v0.8.1,2019-06-12T20:50:35Z,False,carlolm
v0.8.0,2019-06-10T19:06:51Z,False,carlolm
v0.7.0,2019-05-28T20:02:08Z,False,carlolm
v0.6.0,2019-05-13T21:54:25Z,False,carlolm
v0.5.1,2019-05-02T20:27:48Z,False,carlolm
v0.5.0,2019-04-29T18:46:49Z,False,fengtality
v0.4.0,2019-04-15T19:53:54Z,False,carlolm
v0.3.1,2019-04-04T18:10:26Z,False,fengtality
