tag_name,published_at,prerelease,author_login
v4.6a1,2020-12-14T21:31:30Z,True,github-actions[bot]
v4.5.5,2020-12-04T12:46:54Z,False,github-actions[bot]
v4.5.4,2020-11-28T16:27:37Z,False,github-actions[bot]
v4.5.3,2020-09-03T18:40:16Z,False,github-actions[bot]
v4.5.2,2020-08-23T17:25:50Z,False,github-actions[bot]
v4.5.1,2020-08-20T09:19:10Z,False,github-actions[bot]
v4.5.1rc1,2020-08-17T16:46:10Z,True,github-actions[bot]
v4.5,2020-08-02T09:07:08Z,False,github-actions[bot]
v4.5b1,2020-07-30T15:27:56Z,True,github-actions[bot]
v4.5a1,2020-07-21T15:59:50Z,True,github-actions[bot]
v4.4.5,2020-07-18T13:35:30Z,False,github-actions[bot]
v4.4.5rc1,2020-07-15T08:41:07Z,True,github-actions[bot]
v4.4.4,2020-06-11T18:20:35Z,False,github-actions[bot]
v4.4.4rc3,2020-06-08T16:56:20Z,True,github-actions[bot]
v4.4.4rc2,2020-06-08T16:30:27Z,True,github-actions[bot]
v4.4.4rc1,2020-06-06T09:05:44Z,True,github-actions[bot]
v4.4.3,2020-05-22T16:47:18Z,False,github-actions[bot]
v4.4.2,2020-05-19T07:34:14Z,False,github-actions[bot]
v4.4.1,2020-05-14T14:29:34Z,False,github-actions[bot]
v4.4,2020-05-11T18:33:20Z,False,github-actions[bot]
v4.4b1,2020-04-21T08:40:07Z,True,github-actions[bot]
v4.3.2,2020-04-10T10:19:44Z,False,github-actions[bot]
v4.3.1,2020-04-04T08:59:32Z,False,github-actions[bot]
v4.3,2020-03-16T08:18:10Z,False,github-actions[bot]
v4.3rc1,2020-03-15T13:36:29Z,True,github-actions[bot]
v4.3b1,2020-03-14T16:29:52Z,True,github-actions[bot]
v4.3a2,2020-03-01T16:50:11Z,True,github-actions[bot]
v4.3a1,2020-02-17T18:21:42Z,True,github-actions[bot]
v4.2.10,2019-10-28T11:54:43Z,False,Thammus
v4.2.9,2019-08-18T16:37:03Z,False,Thammus
v4.2.8,2019-05-27T16:28:16Z,False,aandergr
v4.2.7,2019-05-17T20:12:29Z,False,Thammus
v4.2.6,2019-05-08T20:23:40Z,False,aandergr
v4.2.5,2019-05-07T16:18:54Z,False,Thammus
v4.2.4,2019-04-01T19:58:34Z,False,Thammus
v4.2.3,2019-02-16T21:30:38Z,False,aandergr
v4.2.2,2019-02-10T20:30:24Z,False,Thammus
v4.2.1,2019-01-17T16:53:51Z,False,aandergr
v4.2,2018-12-23T16:08:33Z,False,aandergr
v4.2rc2,2018-12-21T21:05:38Z,True,aandergr
v4.2rc1,2018-12-21T17:03:38Z,True,aandergr
v4.1.1,2018-10-07T13:23:43Z,False,aandergr
v4.1,2018-09-02T20:00:26Z,False,aandergr
v4.1rc1,2018-08-31T15:47:36Z,True,aandergr
v4.1b1,2018-08-31T10:17:17Z,True,aandergr
v4.1a1,2018-08-24T11:10:47Z,True,aandergr
v4.0.8,2018-08-07T18:11:30Z,False,Thammus
v4.0.7,2018-08-05T07:53:03Z,False,aandergr
v4.0.6,2018-08-02T15:01:33Z,False,Thammus
v4.0.5,2018-07-09T08:24:00Z,False,aandergr
v4.0.4,2018-06-07T13:49:43Z,False,Thammus
v4.0.3,2018-05-23T07:04:11Z,False,aandergr
v4.0.2,2018-05-14T11:03:15Z,False,Thammus
v4.0.1,2018-05-08T17:23:20Z,False,aandergr
v4.0,2018-05-02T15:44:10Z,False,aandergr
v4.0rc1,2018-04-29T21:16:47Z,True,aandergr
v3.3.10,2018-04-20T17:02:20Z,False,Thammus
v3.3.9,2018-04-18T14:30:39Z,False,aandergr
v3.3.8,2018-04-17T11:32:24Z,False,aandergr
v3.3.7,2018-04-13T16:19:09Z,False,aandergr
v3.3.6,2018-04-11T12:37:47Z,False,Thammus
v3.3.5,2018-04-10T19:02:28Z,False,aandergr
v3.3.4,2018-03-29T18:43:52Z,False,Thammus
v3.3.3,2018-03-22T14:00:52Z,False,aandergr
v3.3.2,2018-03-18T17:18:18Z,False,Thammus
v3.3.1,2018-03-14T10:39:50Z,False,aandergr
v3.3,2018-03-13T15:37:58Z,False,aandergr
v3.2.2,2018-02-15T15:23:58Z,False,Thammus
v3.2.1,2017-12-11T20:29:20Z,False,Thammus
v3.2,2017-11-09T17:40:46Z,False,aandergr
v3.1,2017-10-01T10:18:12Z,False,aandergr
v3.0,2017-09-01T14:05:48Z,False,aandergr
v3.0rc1,2017-08-29T10:33:09Z,True,aandergr
v2.2.3,2017-08-13T13:11:27Z,False,Thammus
v2.2.2,2017-08-06T08:53:31Z,False,aandergr
v2.2.1,2017-08-03T05:37:03Z,False,aandergr
v2.2,2017-08-01T14:57:18Z,False,Thammus
v2.1,2017-07-26T18:14:21Z,False,Thammus
v2.0,2017-07-22T16:54:33Z,False,Thammus
v1.3,2017-04-22T16:17:39Z,False,Thammus
v1.2.2,2017-03-19T13:55:19Z,False,aandergr
v1.2.1,2017-02-13T09:31:24Z,False,aandergr
v1.2,2016-09-22T17:07:51Z,False,Thammus
v1.1,2016-09-18T15:07:51Z,False,aandergr
v1.0.1,2016-08-01T16:21:41Z,False,Thammus
v1.0,2016-07-28T16:35:20Z,False,Thammus
