tag_name,published_at,prerelease,author_login
7.9.0,2019-10-25T18:21:30Z,False,takluyver
7.8.0,2019-08-30T16:58:41Z,False,takluyver
7.7.0,2019-07-26T22:23:23Z,False,takluyver
7.6.1,2019-07-03T16:59:23Z,False,takluyver
7.6.0,2019-06-28T23:42:23Z,False,takluyver
7.5.0,2019-04-24T22:26:22Z,False,takluyver
7.4.0,2019-03-21T21:21:50Z,False,takluyver
7.3.0,2019-02-18T22:04:01Z,False,takluyver
7.2.0,2018-11-30T01:19:24Z,False,takluyver
7.1.1,2018-11-06T16:25:18Z,False,takluyver
7.1.0,2018-10-27T20:34:23Z,False,takluyver
7.0.1,2018-09-27T17:13:05Z,False,takluyver
7.0.0-doc,2018-09-27T16:37:28Z,False,takluyver
7.0.0,2018-09-27T15:09:31Z,False,takluyver
7.0.0rc1,2018-09-21T07:50:22Z,False,takluyver
7.0.0b1,2018-09-10T21:27:41Z,False,takluyver
6.2.1,2017-09-29T19:04:36Z,False,takluyver
6.2.0,2017-09-15T17:49:49Z,False,takluyver
6.1.0,2017-05-31T22:41:11Z,False,takluyver
6.0.0,2017-04-19T21:32:33Z,False,takluyver
6.0.0rc1,2017-04-10T21:56:38Z,False,takluyver
rel-3.0.0,2015-02-28T00:34:45Z,False,minrk
rel-2.4.1,2015-02-26T18:17:15Z,False,minrk
rel-2.1.0,2014-05-21T20:52:17Z,False,minrk
rel-1.2.1,2014-02-24T22:23:17Z,False,minrk
rel-1.2.0,2014-02-10T22:05:29Z,False,minrk
rel-1.1.0,2013-09-09T23:06:09Z,False,minrk
rel-1.0.0,2013-08-09T01:09:53Z,False,minrk
