tag_name,published_at,prerelease,author_login
v5.3.0,2020-12-30T16:11:28Z,False,github-actions[bot]
v5.2.0,2020-12-30T16:01:20Z,False,github-actions[bot]
v5.1.0,2020-12-29T05:21:56Z,False,github-actions[bot]
v5.0.2,2020-12-15T21:37:38Z,False,github-actions[bot]
v5.0.1,2020-12-07T23:00:21Z,False,github-actions[bot]
v5.0.0,2020-12-03T21:00:16Z,False,github-actions[bot]
v4.18.0,2020-11-30T15:38:44Z,False,github-actions[bot]
v4.17.1,2020-11-20T15:51:51Z,False,github-actions[bot]
v4.17.0,2020-11-19T16:07:18Z,False,github-actions[bot]
v4.16.0,2020-11-17T17:36:39Z,False,github-actions[bot]
v0.5.6,2016-03-07T15:33:45Z,False,fcurella
v0.5.5,2016-03-07T02:06:11Z,False,joke2k
v0.5.4,2016-02-29T16:54:55Z,False,joke2k
v0.5,2015-02-16T18:50:35Z,False,joke2k
v0.4,2014-04-02T11:45:13Z,False,joke2k
