tag_name,published_at,prerelease,author_login
v2.6.1,2020-12-21T11:04:16Z,False,github-actions[bot]
v2.6.0,2020-12-17T11:08:56Z,False,github-actions[bot]
v2.5.3,2020-12-07T06:46:25Z,False,github-actions[bot]
v2.5.2,2020-11-26T08:28:40Z,False,github-actions[bot]
v2.5.1,2020-11-23T07:14:04Z,False,github-actions[bot]
v2.5.0,2020-11-18T05:52:44Z,False,github-actions[bot]
v2.4.4,2020-11-12T06:56:21Z,False,github-actions[bot]
v2.4.3,2020-10-30T06:18:51Z,False,github-actions[bot]
v2.4.2,2020-10-27T03:29:49Z,False,github-actions[bot]
v2.4.1,2020-10-20T04:04:44Z,False,github-actions[bot]
v2.4.0,2020-10-15T10:29:46Z,False,github-actions[bot]
v2.3.3,2020-10-15T06:10:22Z,False,github-actions[bot]
v2.3.2,2020-09-30T06:45:07Z,False,github-actions[bot]
v2.3.1,2020-09-23T10:28:17Z,False,github-actions[bot]
v2.3.0,2020-09-17T08:11:18Z,False,github-actions[bot]
v2.2.3,2020-09-14T09:54:32Z,False,github-actions[bot]
v2.2.2,2020-09-01T10:49:34Z,False,github-actions[bot]
v2.2.1,2020-08-25T09:41:58Z,False,github-actions[bot]
v2.2.0,2020-08-20T11:52:57Z,False,github-actions[bot]
v2.1.2,2020-08-13T09:51:06Z,False,github-actions[bot]
v2.1.1,2020-08-04T11:08:53Z,False,github-actions[bot]
v2.1.0,2020-07-16T11:43:36Z,False,github-actions[bot]
v2.0.2,2020-07-08T09:59:31Z,False,github-actions[bot]
2.0.1,2020-06-22T11:19:52Z,False,baijiangjie
2.0.0,2020-06-18T05:59:35Z,False,baijiangjie
1.5.9,2020-05-21T06:02:33Z,False,baijiangjie
1.5.8,2020-04-16T03:33:56Z,False,baijiangjie
1.5.7,2020-03-19T08:37:01Z,False,baijiangjie
1.5.6,2020-01-03T09:05:19Z,False,baijiangjie
1.5.5,2019-12-04T09:21:49Z,False,baijiangjie
1.5.4,2019-10-24T04:47:15Z,False,baijiangjie
1.5.3,2019-09-24T10:44:20Z,False,baijiangjie
1.5.2,2019-07-16T11:14:37Z,False,baijiangjie
1.5.1,2019-07-06T09:28:02Z,False,baijiangjie
1.5.0,2019-05-30T10:02:37Z,False,baijiangjie
1.4.10,2019-04-30T06:43:12Z,False,ibuler
1.4.9,2019-03-26T03:40:52Z,False,ibuler
1.4.8,2019-02-22T09:49:25Z,False,ibuler
1.4.7,2019-01-29T11:20:14Z,False,ibuler
1.4.6,2018-12-19T04:04:30Z,False,ibuler
1.4.5,2018-12-12T08:03:40Z,False,ibuler
1.4.4,2018-11-11T04:05:03Z,False,ibuler
1.4.3,2018-10-12T07:36:44Z,False,ibuler
1.4.2,2018-10-08T11:17:26Z,False,ibuler
1.4.1,2018-09-04T07:31:42Z,False,ibuler
1.4.0,2018-08-07T04:41:38Z,False,ibuler
1.3.3,2018-07-17T09:30:50Z,False,ibuler
1.3.2,2018-06-13T03:48:27Z,False,ibuler
1.3.1,2018-05-24T11:12:18Z,False,ibuler
1.3.0,2018-05-02T03:01:02Z,False,ibuler
1.2.1,2018-04-19T04:00:34Z,False,ibuler
1.2.0,2018-04-11T04:47:33Z,False,ibuler
1.1.1,2018-04-06T03:34:26Z,False,ibuler
1.1.0,2018-04-03T02:51:56Z,False,ibuler
1.0.0,2018-03-14T16:00:39Z,False,ibuler
0.3.2-rc2,2017-08-14T07:23:01Z,False,ibuler
0.3.0-beta,2016-03-29T03:17:37Z,True,ibuler
