tag_name,published_at,prerelease,author_login
0.17.0,2020-12-17T13:29:05Z,False,idanov
0.16.6,2020-10-23T10:42:11Z,False,idanov
0.16.5,2020-09-09T11:21:52Z,False,idanov
0.16.4,2020-07-30T10:22:24Z,False,idanov
0.16.3,2020-07-13T11:37:29Z,False,idanov
0.16.2,2020-06-15T14:36:20Z,False,idanov
0.16.1,2020-05-21T12:46:13Z,False,idanov
0.16.0,2020-05-20T11:04:44Z,False,idanov
0.15.9,2020-04-06T14:50:58Z,False,idanov
0.15.8,2020-03-05T10:12:21Z,False,idanov
0.15.7,2020-02-26T17:13:12Z,False,idanov
0.15.6,2020-02-26T11:55:42Z,False,idanov
0.15.5,2019-12-12T13:29:07Z,False,idanov
0.15.4,2019-10-30T17:23:53Z,False,nakhan98
0.15.3,2019-10-17T14:48:21Z,False,nakhan98
0.15.2,2019-10-08T16:19:30Z,False,nakhan98
0.15.1,2019-09-12T16:07:15Z,False,nakhan98
0.15.0,2019-08-13T14:09:29Z,False,nakhan98
0.14.3,2019-06-26T10:26:13Z,False,nakhan98
0.14.2,2019-06-11T14:52:00Z,False,nakhan98
0.14.1,2019-06-03T16:23:42Z,False,nakhan98
0.14.0,2019-06-03T16:23:09Z,False,nakhan98
