tag_name,published_at,prerelease,author_login
v0.4.1,2020-10-20T19:22:02Z,False,edgarriba
v0.4.0,2020-08-06T23:44:20Z,False,edgarriba
v0.3.2,2020-08-06T23:12:32Z,False,edgarriba
v0.3.1,2020-05-10T13:14:02Z,False,edgarriba
v0.3.0,2020-04-27T09:25:45Z,False,edgarriba
v0.2.2,2020-04-26T14:35:55Z,False,edgarriba
v0.2.1,2020-04-21T08:24:44Z,False,edgarriba
v0.2.0,2020-01-27T18:23:47Z,False,edgarriba
v0.1.4,2019-10-05T10:57:00Z,False,edgarriba
v0.1.2,2019-03-14T11:50:57Z,False,edgarriba
v0.1.1,2019-01-08T15:47:39Z,False,edgarriba
v0.1.0,2018-10-03T15:24:35Z,False,edgarriba
