tag_name,published_at,prerelease,author_login
v5.8.1,2020-12-24T12:48:47Z,False,kovidgoyal
v5.8.0,2020-12-24T05:23:01Z,False,kovidgoyal
v5.7.2,2020-12-12T10:27:56Z,False,kovidgoyal
v5.7.1,2020-12-11T14:59:15Z,False,kovidgoyal
v5.7.0,2020-12-11T04:02:38Z,False,kovidgoyal
v5.6.0,2020-11-27T03:55:54Z,False,kovidgoyal
v5.5.0,2020-11-13T03:04:34Z,False,kovidgoyal
v5.4.2,2020-10-30T17:50:20Z,False,kovidgoyal
v5.4.1,2020-10-30T08:33:12Z,False,kovidgoyal
v5.4.0,2020-10-30T03:13:02Z,False,kovidgoyal
v5.3.0,2020-10-16T04:26:43Z,False,kovidgoyal
v5.2.0,2020-10-07T04:14:22Z,False,kovidgoyal
v5.1.0,2020-10-02T04:47:51Z,False,kovidgoyal
v5.0.1,2020-09-25T13:18:33Z,False,kovidgoyal
v5.0.0,2020-09-25T03:53:23Z,False,kovidgoyal
v4.23.0,2020-08-21T02:40:12Z,False,kovidgoyal
v4.22.0,2020-07-31T04:54:28Z,False,kovidgoyal
v4.21.0,2020-07-16T18:06:23Z,False,kovidgoyal
v4.20.0,2020-07-03T03:03:57Z,False,kovidgoyal
v4.19.0,2020-06-19T03:49:25Z,False,kovidgoyal
v4.18.0,2020-06-05T03:42:54Z,False,kovidgoyal
v4.17.0,2020-05-23T03:27:58Z,False,kovidgoyal
v4.16.0,2020-05-15T03:44:26Z,False,kovidgoyal
v4.15.0,2020-05-02T04:49:54Z,False,kovidgoyal
v4.14.0,2020-04-24T03:43:29Z,False,kovidgoyal
v4.13.0,2020-03-27T06:14:24Z,False,kovidgoyal
v4.12.0,2020-03-06T02:51:25Z,False,kovidgoyal
v4.11.2,2020-02-22T11:38:00Z,False,kovidgoyal
v4.11.1,2020-02-21T13:08:12Z,False,kovidgoyal
v4.11.0,2020-02-21T05:14:25Z,False,kovidgoyal
v4.10.1,2020-02-07T06:52:06Z,False,kovidgoyal
v4.10.0,2020-02-07T02:24:07Z,False,kovidgoyal
v4.9.1,2020-01-23T17:41:27Z,False,kovidgoyal
v4.9.0,2020-01-23T03:43:34Z,False,kovidgoyal
v4.8.0,2020-01-03T02:28:00Z,False,kovidgoyal
v4.7.0,2019-12-27T04:57:00Z,False,kovidgoyal
v4.6.0,2019-12-12T21:13:01Z,False,kovidgoyal
v4.5.0,2019-11-28T22:33:39Z,False,kovidgoyal
v4.4.0,2019-11-22T02:46:30Z,False,kovidgoyal
v4.3.0,2019-11-08T02:05:12Z,False,kovidgoyal
v4.2.0,2019-10-18T04:09:29Z,False,kovidgoyal
v4.1.0,2019-10-08T02:49:39Z,False,kovidgoyal
v4.0.0,2019-10-04T02:00:20Z,False,kovidgoyal
v3.48.0,2019-09-13T03:33:53Z,False,kovidgoyal
v3.47.1,2019-09-02T03:47:24Z,False,kovidgoyal
v3.47.0,2019-08-30T02:03:50Z,False,kovidgoyal
v3.46.0,2019-07-19T04:13:15Z,False,kovidgoyal
v3.45.2,2019-07-12T15:59:07Z,False,kovidgoyal
v3.45.1,2019-07-12T09:04:17Z,False,kovidgoyal
v3.45.0,2019-07-12T03:23:23Z,False,kovidgoyal
v3.44.0,2019-05-31T04:41:39Z,False,kovidgoyal
v3.43.0,2019-05-28T04:53:08Z,False,kovidgoyal
v3.42.0,2019-04-29T09:40:18Z,False,kovidgoyal
v3.41.3,2019-04-20T03:13:37Z,False,kovidgoyal
v3.41.2,2019-04-19T13:28:00Z,False,kovidgoyal
v3.41.1,2019-04-19T09:13:37Z,False,kovidgoyal
v3.41.0,2019-04-19T04:15:36Z,False,kovidgoyal
v3.40.1,2019-03-08T06:58:32Z,False,kovidgoyal
v3.40.0,2019-03-08T04:34:36Z,False,kovidgoyal
v3.39.1,2019-02-01T18:32:56Z,False,kovidgoyal
