tag_name,published_at,prerelease,author_login
v0.19.3,2020-12-19T02:58:39Z,False,kovidgoyal
v0.19.2,2020-11-13T04:12:32Z,False,kovidgoyal
v0.19.1,2020-10-06T08:42:08Z,False,kovidgoyal
v0.19.0,2020-10-04T14:33:37Z,False,kovidgoyal
v0.18.3,2020-08-11T09:56:24Z,False,kovidgoyal
v0.18.2,2020-07-28T08:54:05Z,False,kovidgoyal
v0.18.1,2020-06-23T12:15:41Z,False,kovidgoyal
v0.18.0,2020-06-20T07:27:27Z,False,kovidgoyal
v0.17.4,2020-05-09T05:27:33Z,False,kovidgoyal
v0.17.3,2020-04-23T03:20:11Z,False,kovidgoyal
v0.17.2,2020-03-29T03:59:58Z,False,kovidgoyal
v0.17.1,2020-03-24T14:23:07Z,False,kovidgoyal
v0.17.0,2020-03-24T05:16:25Z,False,kovidgoyal
v0.16.0,2020-01-28T03:27:29Z,False,kovidgoyal
v0.15.1,2019-12-21T09:04:27Z,False,kovidgoyal
v0.15.0,2019-11-27T04:34:30Z,False,kovidgoyal
v0.14.6,2019-09-25T06:08:11Z,False,kovidgoyal
v0.14.5,2019-09-23T03:22:15Z,False,kovidgoyal
v0.14.4,2019-08-31T05:00:59Z,False,kovidgoyal
v0.14.3,2019-07-29T05:13:03Z,False,kovidgoyal
v0.14.2,2019-06-09T08:22:29Z,False,kovidgoyal
v0.14.1,2019-05-29T14:38:50Z,False,kovidgoyal
v0.14.0,2019-05-24T06:45:27Z,False,kovidgoyal
v0.13.3,2019-01-19T08:43:27Z,False,kovidgoyal
v0.13.2,2019-01-04T04:13:47Z,False,kovidgoyal
v0.13.1,2018-12-06T08:01:48Z,False,kovidgoyal
v0.13.0,2018-12-05T08:59:21Z,False,kovidgoyal
v0.12.3,2018-09-29T03:54:29Z,False,kovidgoyal
v0.12.2,2018-09-24T00:05:36Z,False,kovidgoyal
v0.12.1,2018-09-08T00:02:26Z,False,kovidgoyal
v0.12.0,2018-09-01T03:55:45Z,False,kovidgoyal
v0.11.3,2018-07-10T16:19:38Z,False,kovidgoyal
v0.11.2,2018-07-01T02:36:59Z,False,kovidgoyal
v0.11.1,2018-06-17T05:35:50Z,False,kovidgoyal
v0.11.0,2018-06-12T03:21:44Z,False,kovidgoyal
v0.10.1,2018-05-24T14:00:26Z,False,kovidgoyal
v0.10.0,2018-05-21T04:26:05Z,False,kovidgoyal
v0.9.1,2018-05-05T04:20:19Z,False,kovidgoyal
v0.9.0,2018-04-15T14:50:20Z,False,kovidgoyal
v0.8.4,2018-03-31T06:49:37Z,False,kovidgoyal
v0.8.3,2018-03-29T04:28:17Z,False,kovidgoyal
v0.8.2,2018-03-17T12:17:48Z,False,kovidgoyal
v0.8.1,2018-03-09T03:54:34Z,False,kovidgoyal
v0.8.0,2018-02-24T05:44:40Z,False,kovidgoyal
v0.7.1,2018-01-31T05:10:50Z,False,kovidgoyal
v0.7.0,2018-01-24T10:05:44Z,False,kovidgoyal
v0.6.1,2017-12-28T05:12:11Z,False,kovidgoyal
v0.6.0,2017-12-18T01:12:24Z,False,kovidgoyal
v0.5.1,2017-12-01T04:47:27Z,False,kovidgoyal
v0.5.0,2017-11-19T02:30:30Z,False,kovidgoyal
v0.4.2,2017-10-23T11:41:50Z,False,kovidgoyal
v0.4.1,2017-10-23T05:53:18Z,False,kovidgoyal
v0.4.0,2017-10-22T04:22:42Z,False,kovidgoyal
v0.3.0,2017-08-23T01:56:31Z,False,kovidgoyal
v0.2.8,2017-08-05T02:53:34Z,False,kovidgoyal
v0.2.7,2017-07-14T05:18:27Z,False,kovidgoyal
v0.2.6,2017-06-03T04:29:32Z,False,kovidgoyal
v0.2.5,2017-05-26T08:34:32Z,False,kovidgoyal
v0.2.4,2017-05-17T05:10:20Z,False,kovidgoyal
v0.2.3,2017-04-28T05:02:47Z,False,kovidgoyal
v0.2.2,2017-04-05T03:44:47Z,False,kovidgoyal
v0.2.1,2017-03-15T11:03:22Z,False,kovidgoyal
v0.2.0,2017-02-13T12:03:11Z,False,kovidgoyal
v0.1.0,2017-02-02T10:54:06Z,False,kovidgoyal
