tag_name,published_at,prerelease,author_login
v0.12.4,2020-12-26T21:31:45Z,False,whummer
v0.12.3,2020-12-11T21:24:33Z,False,whummer
v0.12.2,2020-11-11T21:59:25Z,False,whummer
v0.12.1,2020-11-11T21:52:41Z,False,whummer
v0.12.0,2020-11-11T21:47:03Z,False,whummer
v0.11.6,2020-10-02T20:17:52Z,False,whummer
v0.11.5,2020-09-16T19:48:00Z,False,whummer
v0.11.4,2020-08-12T22:15:10Z,False,whummer
v0.11.3,2020-06-28T21:56:59Z,False,whummer
v0.11.2,2020-05-26T21:08:13Z,False,whummer
v0.11.1,2020-05-04T20:20:38Z,False,whummer
v0.11.0,2020-04-04T17:44:33Z,False,whummer
v0.10.9,2020-04-04T16:12:57Z,False,whummer
v0.10.8,2020-03-02T18:44:15Z,False,whummer
v0.10.6,2020-01-02T12:27:06Z,False,whummer
v0.10.5,2019-11-07T00:10:52Z,False,whummer
v0.10.4,2019-11-07T00:09:42Z,False,whummer
v0.10.3,2019-09-15T20:12:36Z,False,whummer
v0.10.2,2019-08-13T18:20:28Z,False,whummer
v0.10.0,2019-08-03T19:20:52Z,False,whummer
v0.3.10,2017-04-22T06:17:56Z,False,whummer
v0.3.0,2017-02-10T06:27:01Z,False,whummer
v0.2.0,2016-12-19T03:00:01Z,False,whummer
v0.1.16,2016-12-11T10:31:00Z,False,whummer
