tag_name,published_at,prerelease,author_login
1.4.1,2020-11-16T15:17:26Z,False,cyberw
1.4.0,2020-11-13T20:00:29Z,False,cyberw
1.3.2,2020-11-04T11:50:37Z,False,cyberw
1.3.1,2020-10-15T16:48:35Z,False,cyberw
1.3.0,2020-10-12T19:51:21Z,False,cyberw
1.2.3,2020-08-28T07:35:12Z,False,cyberw
1.2.2,2020-08-22T08:20:15Z,False,cyberw
1.2.1,2020-08-20T13:13:13Z,False,cyberw
1.2,2020-08-19T10:25:41Z,False,cyberw
1.1.1,2020-07-07T21:21:07Z,False,cyberw
1.1,2020-06-28T19:17:37Z,False,cyberw
1.0.3,2020-06-05T08:44:07Z,False,cyberw
1.0.2,2020-05-25T18:11:51Z,False,heyman
1.0.1,2020-05-25T18:11:14Z,False,heyman
1.0,2020-05-25T18:10:44Z,False,heyman
1.0b2,2020-05-25T18:10:13Z,True,heyman
1.0b1,2020-04-29T18:00:57Z,True,heyman
0.14.6,2020-04-29T17:18:57Z,False,heyman
0.14.5,2020-02-25T15:36:07Z,False,heyman
0.14.4,2020-02-03T14:57:33Z,False,cyberw
0.14.3,2020-02-03T12:55:18Z,False,cyberw
0.14.0,2020-02-03T08:49:08Z,False,cyberw
0.13.5,2019-12-17T08:03:46Z,False,cyberw
0.13.4,2019-12-16T14:58:41Z,False,cyberw
0.13.3,2019-12-13T16:19:22Z,False,mbeacom
0.13.2,2019-12-13T16:20:12Z,False,mbeacom
0.13.1,2019-11-16T12:44:10Z,False,heyman
0.13.0,2019-11-14T15:19:37Z,False,mbeacom
0.12.2,2019-11-14T15:22:34Z,False,mbeacom
0.12.1,2019-11-14T15:22:25Z,False,mbeacom
0.12.0,2019-10-01T17:07:58Z,False,mbeacom
0.11.1,2019-10-01T17:10:43Z,False,mbeacom
0.11.0,2019-10-01T17:11:11Z,False,mbeacom
0.10.0,2019-10-01T17:11:55Z,False,mbeacom
v0.8.1,2019-10-01T17:13:17Z,False,mbeacom
v0.8,2017-09-19T11:50:27Z,False,heyman
v0.8a3,2017-09-15T14:59:12Z,False,aldenpeterson-wf
