tag_name,published_at,prerelease,author_login
v2.1.2,2020-09-08T13:05:49Z,False,adarob
v2.1.1,2020-08-17T19:59:13Z,False,iansimon
2.1.0,2020-06-17T14:00:11Z,False,adarob
2.0.1,2020-06-03T01:28:55Z,False,adarob
2.0.0,2020-06-02T17:48:11Z,False,adarob
v1.3.2,2020-05-27T18:51:47Z,False,iansimon
v1.3.0,2020-03-31T17:08:32Z,False,cghawthorne
v1.2.2,2019-12-11T20:00:08Z,False,cghawthorne
v1.2.1,2019-12-10T19:28:43Z,False,adarob
v1.2.0,2019-11-25T19:37:42Z,False,cghawthorne
v1.1.8,2019-11-14T21:28:57Z,False,iansimon
v1.1.7,2019-10-02T18:37:00Z,False,cghawthorne
v1.1.6,2019-09-25T18:38:23Z,False,cghawthorne
v1.1.5,2019-09-16T18:13:51Z,False,cghawthorne
v1.1.4,2019-09-16T17:48:44Z,False,cghawthorne
v1.1.3,2019-08-28T17:30:32Z,False,iansimon
v1.1.2,2019-06-06T22:54:28Z,False,cghawthorne
v1.1.1,2019-06-06T22:35:53Z,False,cghawthorne
v1.1.0,2019-05-02T03:19:14Z,False,adarob
v1.0.5,2019-03-26T22:47:03Z,False,jesseengel
v1.0.4,2019-03-26T18:49:11Z,False,jesseengel
v1.0.2,2019-02-04T18:48:57Z,False,cghawthorne
v1.0.1,2019-02-01T00:56:20Z,False,jesseengel
v0.3.13,2018-11-01T18:52:38Z,False,cghawthorne
v0.3.11,2018-08-14T20:54:39Z,False,cghawthorne
v0.3.9,2018-06-29T23:43:08Z,False,cghawthorne
v0.3.8,2018-06-01T22:11:25Z,False,cghawthorne
v0.3.6,2018-02-28T23:25:02Z,False,cghawthorne
v0.3.2,2017-11-03T00:24:40Z,False,cghawthorne
v0.3.1,2017-08-25T19:20:35Z,False,cghawthorne
v0.3.0,2017-08-22T00:35:32Z,False,cghawthorne
v0.2.3,2017-06-29T04:36:45Z,False,iansimon
v0.2.0,2017-06-13T15:31:22Z,False,adarob
v0.1.15,2017-06-09T00:19:39Z,False,adarob
v0.1.14,2017-06-08T23:53:34Z,False,adarob
v0.1.13,2017-06-05T23:54:50Z,False,cghawthorne
v0.1.12,2017-05-19T17:57:13Z,False,cghawthorne
v0.1.11,2017-05-16T23:42:24Z,False,adarob
v0.1.10,2017-03-16T20:48:18Z,False,cghawthorne
v0.1.9,2017-01-27T22:43:01Z,False,cghawthorne
v0.1.8,2016-12-16T19:31:46Z,False,cghawthorne
v0.1.7,2016-12-16T17:55:02Z,False,cghawthorne
v0.1.6,2016-11-09T23:30:53Z,False,cghawthorne
v0.1.5,2016-11-01T22:35:56Z,False,iansimon
v0.1.4,2016-10-18T20:09:03Z,False,adarob
v0.1.3,2016-10-12T18:08:13Z,False,cghawthorne
v0.1.2,2016-10-07T00:23:04Z,True,cghawthorne
