tag_name,published_at,prerelease,author_login
v0.51,2020-11-14T15:07:28Z,False,JoshData
v0.50,2020-09-26T12:15:01Z,False,JoshData
v0.48,2020-08-26T18:13:57Z,False,JoshData
v0.47,2020-07-29T14:28:40Z,False,JoshData
v0.46,2020-06-11T16:28:11Z,False,JoshData
v0.45,2020-05-16T22:42:24Z,False,JoshData
v0.40,2019-01-12T13:25:16Z,False,JoshData
v0.30,2019-01-12T13:25:03Z,False,JoshData
v0.26,2018-01-18T22:11:35Z,False,JoshData
v0.25,2018-01-18T22:11:25Z,False,JoshData
v0.24,2017-10-03T14:52:50Z,False,JoshData
v0.12,2015-07-03T14:35:50Z,False,JoshData
v0.11,2015-06-30T01:01:18Z,False,JoshData
v0.10,2015-06-01T22:08:13Z,False,JoshData
v0.09,2015-05-08T12:12:09Z,False,JoshData
v0.08,2015-04-01T14:19:40Z,False,JoshData
