tag_name,published_at,prerelease,author_login
v3.3.3,2020-11-12T04:22:42Z,False,QuLogic
v3.3.2,2020-09-15T06:53:22Z,False,QuLogic
v3.3.1,2020-08-14T00:29:57Z,False,QuLogic
v3.3.0,2020-07-16T20:49:23Z,False,QuLogic
v3.2.2,2020-06-17T05:32:48Z,False,QuLogic
v3.2.1,2020-03-18T05:55:12Z,False,QuLogic
v3.2.0,2020-03-03T14:31:49Z,False,tacaswell
v3.2.0rc3,2020-02-02T04:23:13Z,True,tacaswell
v3.1.3,2020-02-01T23:54:31Z,False,tacaswell
v2.2.5,2020-02-01T23:23:59Z,False,tacaswell
v3.1.2,2019-12-05T03:21:20Z,False,tacaswell
v3.2.0rc2,2019-11-05T20:53:06Z,True,ivanov
v3.2.0rc1,2019-10-15T18:32:14Z,True,ivanov
v3.1.1,2019-07-01T07:05:13Z,False,ivanov
v3.1.0,2019-05-18T02:05:25Z,False,tacaswell
v3.1.0rc2,2019-05-06T02:45:43Z,True,tacaswell
v3.1.0rc1,2019-04-19T21:17:26Z,True,tacaswell
v3.0.3,2019-02-26T04:44:02Z,False,tacaswell
v2.2.4,2019-02-26T04:44:16Z,False,tacaswell
v3.0.2,2018-11-10T01:12:34Z,False,tacaswell
v3.0.1,2018-11-10T01:12:08Z,False,tacaswell
v3.0.0,2018-09-18T03:23:16Z,False,tacaswell
v3.0.0rc2,2018-08-28T02:05:36Z,True,tacaswell
v3.0.0rc1,2018-08-11T21:14:00Z,True,tacaswell
v2.2.3,2018-08-10T03:09:41Z,False,tacaswell
v2.2.2,2018-03-17T03:00:07Z,False,tacaswell
v2.2.1,2018-03-16T22:06:39Z,False,tacaswell
v2.2.0,2018-03-06T12:53:32Z,False,tacaswell
v2.2.0rc1,2018-02-12T03:43:26Z,True,tacaswell
v2.1.2,2018-01-18T04:56:47Z,False,tacaswell
v2.1.1,2017-12-10T04:47:38Z,False,tacaswell
v2.1.0,2017-10-07T22:35:12Z,False,tacaswell
v2.1.0rc1,2017-09-01T05:24:07Z,True,tacaswell
v2.0.2,2017-05-10T02:11:15Z,False,tacaswell
v2.0.1,2017-05-02T01:59:49Z,False,tacaswell
v2.0.0,2017-01-17T02:59:36Z,False,tacaswell
v2.0.0rc2,2016-12-18T20:07:52Z,True,tacaswell
v2.0.0rc1,2016-12-05T04:08:45Z,True,tacaswell
v2.0.0b4,2016-09-09T03:57:37Z,True,tacaswell
v1.5.3,2016-09-09T03:00:52Z,False,tacaswell
v2.0.0b3,2016-07-16T23:08:44Z,True,tacaswell
v2.0.0b2,2016-07-13T06:31:06Z,True,tacaswell
v1.5.2,2016-07-03T15:52:01Z,False,tacaswell
v2.0.0b1,2016-05-31T02:36:10Z,True,tacaswell
v1.5.1,2016-01-10T22:38:50Z,False,tacaswell
v1.5.0,2015-10-29T21:40:23Z,False,tacaswell
v1.4.3,2015-02-16T04:22:54Z,False,tacaswell
v1.4.2,2014-10-26T03:24:13Z,False,tacaswell
v1.4.1,2014-10-18T18:56:23Z,False,tacaswell
v1.4.0,2014-08-26T21:06:04Z,False,tacaswell
