tag_name,published_at,prerelease,author_login
v1.24.0,2020-12-09T11:16:06Z,False,erikjohnston
v1.23.1,2020-12-09T11:16:02Z,False,erikjohnston
v1.24.0rc2,2020-12-04T14:13:46Z,True,clokep
v1.24.0rc1,2020-12-02T14:26:49Z,True,clokep
v1.23.0,2020-11-18T12:13:07Z,False,erikjohnston
v1.23.0rc1,2020-11-13T14:18:54Z,True,erikjohnston
v1.22.1,2020-10-30T15:37:58Z,False,erikjohnston
v1.22.0,2020-10-27T12:12:14Z,False,erikjohnston
v1.22.0rc2,2020-10-26T15:22:38Z,True,erikjohnston
v1.22.0rc1,2020-10-22T12:37:33Z,True,erikjohnston
v1.21.2,2020-10-15T14:42:18Z,False,clokep
v1.21.1,2020-10-13T09:33:02Z,False,anoadragon453
v1.21.0,2020-10-12T15:39:26Z,False,anoadragon453
v1.21.0rc3,2020-10-08T10:42:56Z,True,erikjohnston
v1.21.0rc2,2020-10-02T11:58:48Z,True,richvdh
v1.21.0rc1,2020-10-01T12:41:33Z,True,richvdh
v1.20.1,2020-09-24T15:40:30Z,False,anoadragon453
v1.20.0,2020-09-22T14:58:49Z,False,anoadragon453
v1.20.0rc5,2020-09-18T15:14:14Z,True,clokep
v1.19.3,2020-09-18T14:42:12Z,False,anoadragon453
v1.20.0rc4,2020-09-16T12:57:00Z,True,clokep
v1.19.2,2020-09-16T12:41:29Z,False,erikjohnston
v1.20.0rc3,2020-09-11T12:26:57Z,True,clokep
v1.20.0rc2,2020-09-09T16:12:09Z,True,richvdh
v1.20.0rc1,2020-09-08T13:02:55Z,True,richvdh
v1.19.1,2020-08-27T09:56:34Z,False,babolivier
v1.19.1rc1,2020-08-25T14:39:23Z,True,babolivier
v1.19.0,2020-08-17T13:25:19Z,False,reivilibre
v1.19.0rc1,2020-08-13T17:20:23Z,True,reivilibre
v1.18.0,2020-07-30T11:17:01Z,False,reivilibre
v1.18.0rc2,2020-07-28T10:30:58Z,True,richvdh
v1.18.0rc1,2020-07-27T16:11:39Z,True,richvdh
v1.17.0,2020-07-13T10:40:54Z,False,richvdh
v1.16.1,2020-07-10T11:33:19Z,False,richvdh
v1.17.0rc1,2020-07-09T16:11:24Z,True,richvdh
v1.16.0,2020-07-08T10:24:48Z,False,richvdh
v1.16.0rc2,2020-07-02T15:29:15Z,True,clokep
v1.15.2,2020-07-02T15:28:00Z,False,clokep
v1.16.0rc1,2020-07-01T10:50:36Z,True,anoadragon453
v1.15.1,2020-06-16T09:34:09Z,False,babolivier
v1.15.0,2020-06-11T12:29:52Z,False,babolivier
v1.15.0rc1,2020-06-09T16:04:53Z,True,babolivier
v1.14.0,2020-05-28T10:47:33Z,False,babolivier
v1.14.0rc2,2020-05-27T15:34:57Z,True,babolivier
v1.14.0rc1,2020-05-26T15:28:22Z,True,babolivier
v1.13.0,2020-05-19T13:55:06Z,False,clokep
v1.13.0rc3,2020-05-18T15:09:33Z,True,clokep
v1.13.0rc2,2020-05-14T10:46:03Z,True,richvdh
v1.13.0rc1,2020-05-11T15:41:54Z,True,anoadragon453
v1.12.4,2020-04-23T15:37:23Z,False,clokep
v1.12.4rc1,2020-04-22T13:53:19Z,True,richvdh
v1.12.3,2020-04-03T10:05:58Z,False,richvdh
v1.12.2,2020-04-02T18:10:37Z,False,anoadragon453
v1.12.1,2020-04-02T15:20:13Z,False,anoadragon453
v1.12.1rc1,2020-03-31T11:03:42Z,True,anoadragon453
v1.12.0,2020-03-23T13:49:10Z,False,richvdh
v1.12.0rc1,2020-03-19T11:30:24Z,True,richvdh
v1.11.1,2020-03-03T15:04:02Z,False,babolivier
v1.11.0,2020-02-21T09:35:15Z,False,richvdh
v1.11.0rc1,2020-02-19T13:58:18Z,True,richvdh
v1.10.1,2020-02-17T16:32:31Z,False,richvdh
v1.10.0,2020-02-12T12:32:28Z,False,babolivier
v1.10.0rc5,2020-02-11T11:12:02Z,True,richvdh
v1.10.0rc3,2020-02-10T10:12:04Z,True,richvdh
