tag_name,published_at,prerelease,author_login
v0.4.1-alpha,2020-12-09T05:09:14Z,True,maurosoria
v0.4.1,2020-12-09T09:49:44Z,False,maurosoria
v0.4.0,2020-09-26T18:38:46Z,False,maurosoria
v0.3.9,2019-11-26T14:46:01Z,False,maurosoria
v0.3.8,2017-07-25T05:07:16Z,False,maurosoria
v0.3.7,2016-08-22T17:56:13Z,False,maurosoria
v0.3.6-1,2016-03-11T06:35:33Z,False,maurosoria
v0.3.6,2016-03-07T10:34:01Z,False,maurosoria
v0.3.5,2016-01-29T07:28:54Z,False,maurosoria
v0.3.0,2015-02-05T17:12:43Z,False,maurosoria
v0.2.7,2014-11-21T13:13:29Z,False,maurosoria
v0.2.6,2014-09-12T11:32:16Z,False,maurosoria
v0.2.5,2014-09-03T03:21:50Z,False,maurosoria
v0.2.4,2014-07-18T08:12:15Z,False,maurosoria
