tag_name,published_at,prerelease,author_login
v1.9,2020-10-22T13:31:52Z,False,QuanluZhang
v1.8,2020-08-28T03:43:11Z,False,ultmaster
v1.7.1,2020-07-31T17:11:58Z,False,chicm-ms
v1.7,2020-07-08T13:18:36Z,False,chicm-ms
v1.6,2020-05-26T13:07:36Z,False,SparkSnail
v1.5,2020-04-13T06:05:26Z,False,liuzhe-lz
v1.4,2020-02-19T07:52:19Z,False,QuanluZhang
v1.3,2019-12-31T06:52:00Z,False,leckie-chn
v1.2,2019-12-02T08:50:25Z,False,chicm-ms
v1.1,2019-10-23T03:13:05Z,False,liuzhe-lz
v1.0,2019-09-02T09:38:54Z,False,suiguoxin
v0.9,2019-07-01T11:21:48Z,False,leckie-chn
v0.8,2019-06-05T02:13:48Z,False,xuehui1991
v0.7,2019-04-29T06:19:17Z,False,chicm-ms
v0.6,2019-04-02T10:09:15Z,False,yds05
v0.5.2.1,2019-03-04T09:41:43Z,False,chicm-ms
v0.5.2,2019-03-04T07:22:26Z,False,chicm-ms
v0.5.1,2019-01-31T09:45:48Z,False,QuanluZhang
v0.5,2019-01-15T02:39:09Z,False,xuehui1991
v0.4.1,2018-12-20T08:30:25Z,False,yds05
v0.4,2018-12-05T10:18:14Z,False,yds05
v0.3.4,2018-11-08T05:53:56Z,False,goooxu
v0.3.3,2018-11-05T09:44:36Z,False,goooxu
v0.3.2,2018-11-06T11:13:30Z,False,goooxu
v0.2,2018-09-29T12:28:16Z,False,yds05
v0.1,2018-09-10T09:45:22Z,False,yds05
