tag_name,published_at,prerelease,author_login
v1.16.1,2020-12-27T17:38:07Z,False,mikf
v1.16.0,2020-12-12T22:24:39Z,False,mikf
v1.15.4,2020-11-27T15:15:15Z,False,mikf
v1.15.3,2020-11-13T14:54:52Z,False,mikf
v1.15.2,2020-10-24T17:03:08Z,False,mikf
v1.15.1,2020-10-11T16:51:36Z,False,mikf
v1.15.0,2020-09-20T20:13:40Z,False,mikf
v1.14.5,2020-08-30T19:27:56Z,False,mikf
v1.14.4,2020-08-15T19:38:11Z,False,mikf
v1.14.3,2020-07-18T16:42:47Z,False,mikf
v1.14.2,2020-06-27T18:52:45Z,False,mikf
v1.14.1,2020-06-12T18:18:41Z,False,mikf
v1.14.0,2020-05-31T18:57:11Z,False,mikf
v1.13.6,2020-05-02T20:24:38Z,False,mikf
v1.13.5,2020-04-27T19:30:44Z,False,mikf
v1.13.4,2020-04-12T19:31:57Z,False,mikf
v1.13.3,2020-03-28T21:10:01Z,False,mikf
v1.13.2,2020-03-14T19:27:20Z,False,mikf
v1.13.1,2020-03-01T20:34:26Z,False,mikf
v1.13.0,2020-02-16T21:46:13Z,False,mikf
v1.12.3,2020-01-19T22:37:16Z,False,mikf
v1.12.2,2020-01-05T21:10:22Z,False,mikf
v1.12.1,2019-12-22T21:33:52Z,False,mikf
v1.12.0,2019-12-08T21:54:42Z,False,mikf
v1.11.1,2019-11-08T23:58:25Z,False,mikf
v1.11.0,2019-11-08T21:40:23Z,False,mikf
v1.11.0-dev.1,2019-10-26T21:29:51Z,True,mikf
v1.10.6,2019-10-11T18:21:34Z,False,mikf
v1.10.5,2019-09-28T20:24:12Z,False,mikf
v1.10.4,2019-09-08T12:00:20Z,False,mikf
v1.10.3,2019-08-30T17:46:44Z,False,mikf
v1.10.2,2019-08-23T20:21:26Z,False,mikf
v1.10.1,2019-08-02T19:32:02Z,False,mikf
v1.10.0,2019-08-01T21:28:00Z,False,mikf
v1.9.0,2019-07-19T20:02:42Z,False,mikf
v1.8.7,2019-06-28T19:09:17Z,False,mikf
v1.8.6,2019-06-14T19:17:46Z,False,mikf
v1.8.5,2019-06-01T19:09:54Z,False,mikf
v1.8.4,2019-05-17T21:57:09Z,False,mikf
v1.8.3,2019-05-04T20:56:01Z,False,mikf
v1.8.2,2019-04-12T08:43:12Z,False,mikf
v1.8.1,2019-03-29T16:49:51Z,False,mikf
v1.8.0,2019-03-15T14:31:03Z,False,mikf
v1.7.0,2019-02-05T15:35:21Z,False,mikf
v1.6.3,2019-01-18T11:35:45Z,False,mikf
v1.6.2,2019-01-01T15:29:32Z,False,mikf
v1.6.1,2018-11-28T14:39:22Z,False,mikf
v1.6.0,2018-11-17T17:31:22Z,False,mikf
v1.5.3,2018-09-14T16:20:55Z,False,mikf
v1.5.2,2018-08-31T18:30:45Z,False,mikf
v1.5.1,2018-08-17T11:24:38Z,False,mikf
v1.5.0,2018-08-03T15:53:15Z,False,mikf
v1.4.2,2018-07-06T14:07:06Z,False,mikf
v1.4.1,2018-06-22T14:38:35Z,False,mikf
v1.4.0,2018-06-08T20:26:48Z,False,mikf
v1.3.5,2018-05-04T08:07:52Z,False,mikf
v1.3.4,2018-04-20T16:46:13Z,False,mikf
v1.3.3,2018-04-06T13:53:09Z,False,mikf
v1.3.2,2018-03-23T14:32:46Z,False,mikf
v1.3.1,2018-03-16T14:39:37Z,False,mikf
v1.3.0,2018-03-02T17:55:43Z,False,mikf
v1.2.0,2018-02-16T21:35:51Z,False,mikf
v1.1.2,2018-01-12T14:19:03Z,False,mikf
v1.1.1,2017-12-22T16:07:20Z,False,mikf
v1.1.0,2017-12-08T16:22:46Z,False,mikf
v1.0.2,2017-11-24T16:30:38Z,False,mikf
v1.0.1,2017-11-10T08:10:00Z,False,mikf
v1.0.0,2017-10-27T14:31:12Z,False,mikf
v0.9.1,2017-07-24T09:44:50Z,False,mikf
v0.9.0,2017-06-28T07:59:29Z,False,mikf
v0.8.4,2017-05-21T09:07:17Z,False,mikf
v0.8.3,2017-05-01T11:37:13Z,False,mikf
v0.8.2,2017-04-10T06:28:58Z,False,mikf
v0.8.1,2017-04-09T09:59:51Z,False,mikf
v0.8.0,2017-03-28T13:12:23Z,False,mikf
v0.7.0,2017-03-06T18:44:08Z,False,mikf
v0.6.4,2017-02-13T00:16:21Z,False,mikf
v0.6.3,2017-01-25T01:52:40Z,False,mikf
v0.6.2,2017-01-05T00:24:43Z,False,mikf
v0.6.1,2016-11-30T19:08:10Z,False,mikf
v0.6.0,2016-10-08T10:43:01Z,False,mikf
v0.5.2,2016-09-23T06:44:46Z,False,mikf
v0.5.1,2016-08-22T10:41:05Z,False,mikf
v0.5.0,2016-07-25T13:25:35Z,False,mikf
v0.4.1,2015-12-03T01:36:26Z,False,mikf
v0.4.0,2015-11-26T17:12:59Z,False,mikf
v0.3.3,2015-11-10T20:20:28Z,False,mikf
v0.3.2,2015-11-04T21:07:32Z,False,mikf
