tag_name,published_at,prerelease,author_login
v2.17.1,2020-12-25T13:03:50Z,False,StpMax
v2.15.0,2020-12-11T13:08:38Z,False,StpMax
v2.14.0,2020-12-03T18:26:27Z,False,George3d6
v2.12.0,2020-10-28T16:28:51Z,False,StpMax
v2.11.2,2020-10-14T16:18:54Z,False,StpMax
v2.11.0,2020-10-14T15:25:00Z,False,StpMax
v2.10.2,2020-10-02T08:44:19Z,False,StpMax
v2.10.0,2020-10-01T14:06:07Z,False,StpMax
v2.9.1,2020-09-29T14:13:49Z,False,StpMax
v2.9.0,2020-09-25T17:34:00Z,False,StpMax
v2.8.3,2020-09-25T16:30:00Z,False,StpMax
v2.8.1,2020-09-21T15:53:53Z,False,StpMax
v2.8.0,2020-09-21T10:01:01Z,False,StpMax
v2.7.2,2020-09-14T07:07:33Z,False,StpMax
v2.7.1,2020-09-11T14:05:19Z,False,StpMax
v2.7.0,2020-09-10T15:08:58Z,False,StpMax
v2.6.1,2020-09-10T07:43:45Z,False,StpMax
v2.6.0,2020-09-03T15:20:42Z,False,StpMax
v2.5.0,2020-08-28T14:02:37Z,False,StpMax
v2.4.0,2020-08-28T13:59:34Z,False,StpMax
v2.3.0,2020-08-14T08:12:02Z,False,StpMax
v2.2.1,2020-07-31T09:29:09Z,False,StpMax
v2.2.0,2020-07-30T17:01:36Z,False,StpMax
v2.1.2,2020-07-28T12:11:30Z,False,StpMax
v2.1.1,2020-07-25T10:52:19Z,False,StpMax
v2.1.0,2020-07-24T07:06:42Z,False,StpMax
v2.0.0,2020-07-21T07:30:19Z,False,StpMax
v.1.2.8,2019-07-05T14:53:09Z,False,torrmal
v1.0.6,2019-04-29T05:14:35Z,False,torrmal
v0.8.9.1,2018-12-24T12:05:26Z,False,torrmal
v0.8.8,2018-12-13T18:57:16Z,False,torrmal
