tag_name,published_at,prerelease,author_login
v6.0.1,2020-12-13T19:08:38Z,False,mhils
v6.0.0,2020-12-13T00:27:12Z,False,mhils
v5.3.0,2020-11-01T14:55:59Z,False,Kriechi
v5.2,2020-07-18T22:34:57Z,False,mhils
v5.1.1,2020-04-13T11:39:48Z,False,Kriechi
v5.1.0,2020-04-13T07:50:47Z,False,Kriechi
v5.0.1,2019-12-27T17:19:00Z,False,mhils
v5.0.0,2019-12-16T01:56:03Z,False,mhils
v4.0.4,2018-07-31T12:06:20Z,False,mhils
v4.0.3,2018-06-16T04:57:31Z,False,cortesi
v4.0.1,2018-05-17T07:55:34Z,False,Kriechi
v4.0.0,2018-05-17T00:07:30Z,False,cortesi
v3.0.4,2018-04-05T15:48:46Z,False,mhils
v3.0.3,2018-02-25T09:26:11Z,False,cortesi
v3.0.2,2018-02-23T21:37:52Z,False,Kriechi
v3.0.1,2018-02-23T02:06:36Z,False,cortesi
v3.0.0,2018-02-22T13:03:40Z,False,mhils
v3.0.0rc2,2018-01-07T21:55:12Z,True,mhils
v2.0.2,2017-04-28T12:39:07Z,False,mhils
v2.0.0,2017-02-21T18:08:22Z,False,Kriechi
v3.0.0rc1,2017-12-31T17:01:00Z,True,mhils
v2.0.1,2017-03-15T19:01:33Z,False,Kriechi
v1.0.2,2016-12-28T15:30:08Z,False,mhils
v1.0.1,2016-12-27T18:34:55Z,False,mhils
v1.0,2016-12-26T01:12:22Z,False,cortesi
v0.18.2,2016-10-26T06:55:28Z,False,mhils
v0.18.1,2016-10-16T11:23:51Z,False,cortesi
v0.17.1,2016-04-22T06:48:10Z,False,mhils
v0.17,2016-04-10T01:35:01Z,False,mhils
v0.16,2016-02-15T21:26:33Z,False,cortesi
v0.15,2015-12-03T17:15:44Z,False,mhils
v0.14,2015-11-07T01:36:58Z,False,mhils
v0.13,2015-08-16T04:40:14Z,False,cortesi
v0.11.3,2015-01-08T09:47:48Z,False,mhils
v0.11.2,2014-12-29T13:51:01Z,False,mhils
v0.11.1,2014-12-17T16:00:05Z,False,mhils
v0.9.2,2013-08-24T22:40:36Z,False,cortesi
